Index,Accuracy
provincial_set_overall_imputer_minmax_discretized: province,0.2231404958677686
provincial_set_overall_imputer_minmax_nondiscretized: province,0.19834710743801653
provincial_set_overall_imputer_nonorm_discretized: province,0.2231404958677686
provincial_set_overall_imputer_nonorm_nondiscretized: province,0.12396694214876033
provincial_set_overall_imputer_std_discretized: province,0.2809917355371901
provincial_set_overall_imputer_std_nondiscretized: province,0.2727272727272727
provincial_set_overall_nega_minmax_discretized: province,0.19834710743801653
provincial_set_overall_nega_minmax_nondiscretized: province,0.06611570247933884
provincial_set_overall_nega_nonorm_discretized: province,0.17355371900826447
provincial_set_overall_nega_nonorm_nondiscretized: province,0.06611570247933884
provincial_set_overall_nega_std_discretized: province,0.17355371900826447
provincial_set_overall_nega_std_nondiscretized: province,0.18181818181818182
