Index,Accuracy
provincial_set_overall_imputer_minmax_discretized: province,0.6198347107438017
provincial_set_overall_imputer_minmax_nondiscretized: province,0.4462809917355372
provincial_set_overall_imputer_nonorm_discretized: province,0.6942148760330579
provincial_set_overall_imputer_nonorm_nondiscretized: province,0.21487603305785125
provincial_set_overall_imputer_std_discretized: province,0.6198347107438017
provincial_set_overall_imputer_std_nondiscretized: province,0.6776859504132231
provincial_set_overall_nega_minmax_discretized: province,0.6528925619834711
provincial_set_overall_nega_minmax_nondiscretized: province,0.2892561983471074
provincial_set_overall_nega_nonorm_discretized: province,0.6528925619834711
provincial_set_overall_nega_nonorm_nondiscretized: province,0.2396694214876033
provincial_set_overall_nega_std_discretized: province,0.6528925619834711
provincial_set_overall_nega_std_nondiscretized: province,0.49586776859504134
