Index,MSE
provincial_set_detailed_imputer_minmax_discretized: Alberta_economics,0.3464604398688277
provincial_set_detailed_imputer_minmax_nondiscretized: Alberta_economics,0.0029117795110001677
provincial_set_detailed_imputer_nonorm_discretized: Alberta_economics,0.34937974544198813
provincial_set_detailed_imputer_nonorm_nondiscretized: Alberta_economics,741387222.0730742
provincial_set_detailed_imputer_std_discretized: Alberta_economics,0.34585214464721065
provincial_set_detailed_imputer_std_nondiscretized: Alberta_economics,0.13309595464670304
provincial_set_detailed_nega_minmax_discretized: Alberta_economics,0.3709634944358798
provincial_set_detailed_nega_minmax_nondiscretized: Alberta_economics,0.0035709228747899937
provincial_set_detailed_nega_nonorm_discretized: Alberta_economics,0.374694099828827
provincial_set_detailed_nega_nonorm_nondiscretized: Alberta_economics,9853367128.397717
provincial_set_detailed_nega_std_discretized: Alberta_economics,0.3725984423255125
provincial_set_detailed_nega_std_nondiscretized: Alberta_economics,0.11420846923194918
