Index,MSE
provincial_set_detailed_imputer_minmax_discretized: Alberta_education,0.19936116131653592
provincial_set_detailed_imputer_minmax_nondiscretized: Alberta_education,0.0007376506620322641
provincial_set_detailed_imputer_nonorm_discretized: Alberta_education,0.24976860143914936
provincial_set_detailed_imputer_nonorm_nondiscretized: Alberta_education,88764210.64617394
provincial_set_detailed_imputer_std_discretized: Alberta_education,0.2656626937867407
provincial_set_detailed_imputer_std_nondiscretized: Alberta_education,0.026042396368790417
provincial_set_detailed_nega_minmax_discretized: Alberta_education,0.5293465285212963
provincial_set_detailed_nega_minmax_nondiscretized: Alberta_education,0.0017787235156497007
provincial_set_detailed_nega_nonorm_discretized: Alberta_education,0.60879169192694
provincial_set_detailed_nega_nonorm_nondiscretized: Alberta_education,566947222.955476
provincial_set_detailed_nega_std_discretized: Alberta_education,0.6511440789513211
provincial_set_detailed_nega_std_nondiscretized: Alberta_education,0.0437776711617166
