Index,MSE
provincial_set_detailed_imputer_minmax_discretized: Alberta_economics,0.25259456584272727
provincial_set_detailed_imputer_minmax_discretized: British Columbia_economics,0.2328359900528697
provincial_set_detailed_imputer_minmax_discretized: Manitoba_economics,0.2676877167924914
provincial_set_detailed_imputer_minmax_discretized: New Brunswick_economics,0.023256970130851526
provincial_set_detailed_imputer_minmax_discretized: Newfoundland and Labrador_economics,0.0685574372577025
provincial_set_detailed_imputer_minmax_discretized: Northwestern_economics,0.029732582688247713
provincial_set_detailed_imputer_minmax_discretized: Nova Scotia_economics,0.026251820550165138
provincial_set_detailed_imputer_minmax_discretized: Nunavut_economics,0.0074331456720619325
provincial_set_detailed_imputer_minmax_discretized: Ontario_economics,0.42610298895088855
provincial_set_detailed_imputer_minmax_discretized: Prince Edward Island_economics,0.01189060642092747
provincial_set_detailed_imputer_minmax_discretized: Quebec_economics,0.1998463756479607
provincial_set_detailed_imputer_minmax_discretized: Saskatchewan_economics,0.5171679249132829
provincial_set_detailed_imputer_minmax_discretized: Yukon_economics,0.03222222222222222
provincial_set_detailed_imputer_minmax_nondiscretized: Alberta_economics,0.0022210008940482377
provincial_set_detailed_imputer_minmax_nondiscretized: British Columbia_economics,0.0016124992636444313
provincial_set_detailed_imputer_minmax_nondiscretized: Manitoba_economics,0.0008606680431666474
provincial_set_detailed_imputer_minmax_nondiscretized: New Brunswick_economics,4.587485332528749e-05
provincial_set_detailed_imputer_minmax_nondiscretized: Newfoundland and Labrador_economics,0.00026008171583766264
provincial_set_detailed_imputer_minmax_nondiscretized: Northwestern_economics,0.0009039615990418744
provincial_set_detailed_imputer_minmax_nondiscretized: Nova Scotia_economics,0.00012316810708745283
provincial_set_detailed_imputer_minmax_nondiscretized: Nunavut_economics,4.74311484265228e-06
provincial_set_detailed_imputer_minmax_nondiscretized: Ontario_economics,0.004376711688226104
provincial_set_detailed_imputer_minmax_nondiscretized: Prince Edward Island_economics,0.0001260221464078572
provincial_set_detailed_imputer_minmax_nondiscretized: Quebec_economics,0.001143483764273885
provincial_set_detailed_imputer_minmax_nondiscretized: Saskatchewan_economics,0.0034224078961723452
provincial_set_detailed_imputer_minmax_nondiscretized: Yukon_economics,0.00030163906231551796
provincial_set_detailed_imputer_nonorm_discretized: Alberta_economics,0.25444800823293834
provincial_set_detailed_imputer_nonorm_discretized: British Columbia_economics,0.20354849741223233
provincial_set_detailed_imputer_nonorm_discretized: Manitoba_economics,0.2804345485048404
provincial_set_detailed_imputer_nonorm_discretized: New Brunswick_economics,0.024327513290644177
provincial_set_detailed_imputer_nonorm_discretized: Newfoundland and Labrador_economics,0.0687614772495409
provincial_set_detailed_imputer_nonorm_discretized: Northwestern_economics,0.029732582688247713
provincial_set_detailed_imputer_nonorm_discretized: Nova Scotia_economics,0.027195429649838978
provincial_set_detailed_imputer_nonorm_discretized: Nunavut_economics,0.0074771287825475055
