Index,MSE
provincial_set_detailed_imputer_minmax_discretized: Alberta_education,0.19090561018623345
provincial_set_detailed_imputer_minmax_discretized: British Columbia_education,112.83507881048675
provincial_set_detailed_imputer_minmax_discretized: Manitoba_education,0.017389038419110554
provincial_set_detailed_imputer_minmax_discretized: New Brunswick_education,0.0008819580078125059
provincial_set_detailed_imputer_minmax_discretized: Newfoundland and Labrador_education,3.924580875836861e-05
provincial_set_detailed_imputer_minmax_discretized: Northwestern_education,5.39260384428426e-34
provincial_set_detailed_imputer_minmax_discretized: Nova Scotia_education,3.1577562387641723e-06
provincial_set_detailed_imputer_minmax_discretized: Nunavut_education,4.853343459855834e-33
provincial_set_detailed_imputer_minmax_discretized: Ontario_education,82.59088433584584
provincial_set_detailed_imputer_minmax_discretized: Prince Edward Island_education,1.4672908766603921e-05
provincial_set_detailed_imputer_minmax_discretized: Quebec_education,25.48261111111157
provincial_set_detailed_imputer_minmax_discretized: Saskatchewan_education,0.021153064556776978
provincial_set_detailed_imputer_minmax_discretized: Yukon_education,0.0
provincial_set_detailed_imputer_minmax_nondiscretized: Alberta_education,0.03668242115176674
provincial_set_detailed_imputer_minmax_nondiscretized: British Columbia_education,0.08258422221473147
provincial_set_detailed_imputer_minmax_nondiscretized: Manitoba_education,0.0011816141223861616
provincial_set_detailed_imputer_minmax_nondiscretized: New Brunswick_education,0.00032643444009170755
provincial_set_detailed_imputer_minmax_nondiscretized: Newfoundland and Labrador_education,0.004747482229248598
provincial_set_detailed_imputer_minmax_nondiscretized: Northwestern_education,1.743413776614781e-06
provincial_set_detailed_imputer_minmax_nondiscretized: Nova Scotia_education,0.0005891960855019232
provincial_set_detailed_imputer_minmax_nondiscretized: Nunavut_education,9.194034842275004e-07
provincial_set_detailed_imputer_minmax_nondiscretized: Ontario_education,0.013398805872341577
provincial_set_detailed_imputer_minmax_nondiscretized: Prince Edward Island_education,8.196206809811153e-07
provincial_set_detailed_imputer_minmax_nondiscretized: Quebec_education,0.015683016350394884
provincial_set_detailed_imputer_minmax_nondiscretized: Saskatchewan_education,5.2922276013704425e-05
provincial_set_detailed_imputer_minmax_nondiscretized: Yukon_education,4.201966651516225e-05
provincial_set_detailed_imputer_nonorm_discretized: Alberta_education,0.18412639362652083
provincial_set_detailed_imputer_nonorm_discretized: British Columbia_education,167.28942301599244
provincial_set_detailed_imputer_nonorm_discretized: Manitoba_education,0.030884203161181074
provincial_set_detailed_imputer_nonorm_discretized: New Brunswick_education,0.0009787999075220215
provincial_set_detailed_imputer_nonorm_discretized: Newfoundland and Labrador_education,0.00037512336494971324
provincial_set_detailed_imputer_nonorm_discretized: Northwestern_education,4.853343459855834e-33
provincial_set_detailed_imputer_nonorm_discretized: Nova Scotia_education,9.716571058062847e-06
provincial_set_detailed_imputer_nonorm_discretized: Nunavut_education,0.0
provincial_set_detailed_imputer_nonorm_discretized: Ontario_education,918.1219001469199
provincial_set_detailed_imputer_nonorm_discretized: Prince Edward Island_education,1.4672908766603921e-05
provincial_set_detailed_imputer_nonorm_discretized: Quebec_education,105.79861111111185
provincial_set_detailed_imputer_nonorm_discretized: Saskatchewan_education,0.02115306455677695
provincial_set_detailed_imputer_nonorm_discretized: Yukon_education,0.0
provincial_set_detailed_imputer_nonorm_nondiscretized: Alberta_education,327047957.9399584
provincial_set_detailed_imputer_nonorm_nondiscretized: British Columbia_education,1703905573.3866885
provincial_set_detailed_imputer_nonorm_nondiscretized: Manitoba_education,73490589.43306263
provincial_set_detailed_imputer_nonorm_nondiscretized: New Brunswick_education,11090377.257406402
provincial_set_detailed_imputer_nonorm_nondiscretized: Newfoundland and Labrador_education,2420102108.4290586
provincial_set_detailed_imputer_nonorm_nondiscretized: Northwestern_education,1314931.492563614
provincial_set_detailed_imputer_nonorm_nondiscretized: Nova Scotia_education,202540512.44317278
provincial_set_detailed_imputer_nonorm_nondiscretized: Nunavut_education,112325.45779916008
provincial_set_detailed_imputer_nonorm_nondiscretized: Ontario_education,4365021241.376257
provincial_set_detailed_imputer_nonorm_nondiscretized: Prince Edward Island_education,338382.9270613898
provincial_set_detailed_imputer_nonorm_nondiscretized: Quebec_education,6479440990.875345
provincial_set_detailed_imputer_nonorm_nondiscretized: Saskatchewan_education,10415795.537442748
provincial_set_detailed_imputer_nonorm_nondiscretized: Yukon_education,34163793.32094964
provincial_set_detailed_imputer_std_discretized: Alberta_education,0.2239662801964609
provincial_set_detailed_imputer_std_discretized: British Columbia_education,111.46891186554319
provincial_set_detailed_imputer_std_discretized: Manitoba_education,0.00827051127973802
provincial_set_detailed_imputer_std_discretized: New Brunswick_education,0.0008819580078125059
provincial_set_detailed_imputer_std_discretized: Newfoundland and Labrador_education,3.1987091434174126e-05
provincial_set_detailed_imputer_std_discretized: Northwestern_education,4.853343459855834e-33
