Index,MSE
provincial_set_overall_imputer_minmax_discretized: Alberta_economics,0.1107954545454545
provincial_set_overall_imputer_minmax_discretized: British Columbia_economics,0.48361200429424867
provincial_set_overall_imputer_minmax_discretized: Manitoba_economics,0.029696969696969718
provincial_set_overall_imputer_minmax_discretized: New Brunswick_economics,0.02101010101010101
provincial_set_overall_imputer_minmax_discretized: Newfoundland and Labrador_economics,0.10969696969696967
provincial_set_overall_imputer_minmax_discretized: Northwestern_economics,0.05612244897959182
provincial_set_overall_imputer_minmax_discretized: Nova Scotia_economics,0.05646464646464645
provincial_set_overall_imputer_minmax_discretized: Nunavut_economics,0.022727272727272728
provincial_set_overall_imputer_minmax_discretized: Ontario_economics,0.7036684285557612
provincial_set_overall_imputer_minmax_discretized: Prince Edward Island_economics,0.036464646464646464
provincial_set_overall_imputer_minmax_discretized: Quebec_economics,0.34179455415456833
provincial_set_overall_imputer_minmax_discretized: Saskatchewan_economics,0.35343434343434327
provincial_set_overall_imputer_minmax_discretized: Yukon_economics,0.10343434343434343
provincial_set_overall_imputer_minmax_nondiscretized: Alberta_economics,0.0008743515632691248
provincial_set_overall_imputer_minmax_nondiscretized: British Columbia_economics,0.0013456602299728075
provincial_set_overall_imputer_minmax_nondiscretized: Manitoba_economics,0.00040766418239565475
provincial_set_overall_imputer_minmax_nondiscretized: New Brunswick_economics,0.00015506646844938942
provincial_set_overall_imputer_minmax_nondiscretized: Newfoundland and Labrador_economics,0.00043131774890294705
provincial_set_overall_imputer_minmax_nondiscretized: Northwestern_economics,0.0020331705511424424
provincial_set_overall_imputer_minmax_nondiscretized: Nova Scotia_economics,0.00038252910732132153
provincial_set_overall_imputer_minmax_nondiscretized: Nunavut_economics,4.0105858525577395e-05
provincial_set_overall_imputer_minmax_nondiscretized: Ontario_economics,0.004955261065404635
provincial_set_overall_imputer_minmax_nondiscretized: Prince Edward Island_economics,2.0062714723863165e-06
provincial_set_overall_imputer_minmax_nondiscretized: Quebec_economics,0.0008575029106338134
provincial_set_overall_imputer_minmax_nondiscretized: Saskatchewan_economics,0.0012600174028170369
provincial_set_overall_imputer_minmax_nondiscretized: Yukon_economics,0.0004010320752692333
provincial_set_overall_imputer_nonorm_discretized: Alberta_economics,0.11079545454545453
provincial_set_overall_imputer_nonorm_discretized: British Columbia_economics,0.48361200429424867
provincial_set_overall_imputer_nonorm_discretized: Manitoba_economics,0.029696969696969718
provincial_set_overall_imputer_nonorm_discretized: New Brunswick_economics,0.01282828282828283
provincial_set_overall_imputer_nonorm_discretized: Newfoundland and Labrador_economics,0.11101010101010099
provincial_set_overall_imputer_nonorm_discretized: Northwestern_economics,0.05612244897959182
provincial_set_overall_imputer_nonorm_discretized: Nova Scotia_economics,0.05797979797979796
provincial_set_overall_imputer_nonorm_discretized: Nunavut_economics,0.022727272727272728
provincial_set_overall_imputer_nonorm_discretized: Ontario_economics,0.7281265030919367
provincial_set_overall_imputer_nonorm_discretized: Prince Edward Island_economics,0.036464646464646464
provincial_set_overall_imputer_nonorm_discretized: Quebec_economics,0.34179455415456833
provincial_set_overall_imputer_nonorm_discretized: Saskatchewan_economics,0.35343434343434327
provincial_set_overall_imputer_nonorm_discretized: Yukon_economics,0.10343434343434343
provincial_set_overall_imputer_nonorm_nondiscretized: Alberta_economics,1454236255.0793467
provincial_set_overall_imputer_nonorm_nondiscretized: British Columbia_economics,509257967.5457364
provincial_set_overall_imputer_nonorm_nondiscretized: Manitoba_economics,75729561.40026349
provincial_set_overall_imputer_nonorm_nondiscretized: New Brunswick_economics,784003710.6551495
provincial_set_overall_imputer_nonorm_nondiscretized: Newfoundland and Labrador_economics,9802687.365960047
provincial_set_overall_imputer_nonorm_nondiscretized: Northwestern_economics,1293011.2288162352
