Index,MSE
provincial_set_overall_imputer_minmax_discretized: Alberta_education,0.00454723919387436
provincial_set_overall_imputer_minmax_discretized: British Columbia_education,0.0954461894284286
provincial_set_overall_imputer_minmax_discretized: Manitoba_education,0.0
provincial_set_overall_imputer_minmax_discretized: New Brunswick_education,0.0
provincial_set_overall_imputer_minmax_discretized: Newfoundland and Labrador_education,0.0
provincial_set_overall_imputer_minmax_discretized: Northwestern_education,1.2037062152420224e-33
provincial_set_overall_imputer_minmax_discretized: Nova Scotia_education,0.0
provincial_set_overall_imputer_minmax_discretized: Nunavut_education,1.925929944387236e-34
provincial_set_overall_imputer_minmax_discretized: Ontario_education,0.24354410657629452
provincial_set_overall_imputer_minmax_discretized: Prince Edward Island_education,0.0
provincial_set_overall_imputer_minmax_discretized: Quebec_education,0.2053319038221096
provincial_set_overall_imputer_minmax_discretized: Saskatchewan_education,0.0
provincial_set_overall_imputer_minmax_discretized: Yukon_education,0.0
provincial_set_overall_imputer_minmax_nondiscretized: Alberta_education,2.3343454097200463e-06
provincial_set_overall_imputer_minmax_nondiscretized: British Columbia_education,4.8231004275475196e-05
provincial_set_overall_imputer_minmax_nondiscretized: Manitoba_education,8.061912360054803e-06
provincial_set_overall_imputer_minmax_nondiscretized: New Brunswick_education,3.6077251378611185e-06
provincial_set_overall_imputer_minmax_nondiscretized: Newfoundland and Labrador_education,1.322840651867609e-06
provincial_set_overall_imputer_minmax_nondiscretized: Northwestern_education,4.839312948879623e-07
provincial_set_overall_imputer_minmax_nondiscretized: Nova Scotia_education,1.77455112005261e-06
provincial_set_overall_imputer_minmax_nondiscretized: Nunavut_education,3.6525205393402657e-07
provincial_set_overall_imputer_minmax_nondiscretized: Ontario_education,0.00029547562417251214
provincial_set_overall_imputer_minmax_nondiscretized: Prince Edward Island_education,9.064091772432466e-08
provincial_set_overall_imputer_minmax_nondiscretized: Quebec_education,0.00043278595553024123
provincial_set_overall_imputer_minmax_nondiscretized: Saskatchewan_education,1.6298001372413807e-06
provincial_set_overall_imputer_minmax_nondiscretized: Yukon_education,1.5741829716754449e-06
provincial_set_overall_imputer_nonorm_discretized: Alberta_education,0.005578809039278813
provincial_set_overall_imputer_nonorm_discretized: British Columbia_education,0.09544618942842846
provincial_set_overall_imputer_nonorm_discretized: Manitoba_education,0.0
provincial_set_overall_imputer_nonorm_discretized: New Brunswick_education,0.0
provincial_set_overall_imputer_nonorm_discretized: Newfoundland and Labrador_education,0.0
provincial_set_overall_imputer_nonorm_discretized: Northwestern_education,3.9000081373841526e-33
provincial_set_overall_imputer_nonorm_discretized: Nova Scotia_education,0.0
provincial_set_overall_imputer_nonorm_discretized: Nunavut_education,1.925929944387236e-34
provincial_set_overall_imputer_nonorm_discretized: Ontario_education,0.17814563970959643
provincial_set_overall_imputer_nonorm_discretized: Prince Edward Island_education,0.0
provincial_set_overall_imputer_nonorm_discretized: Quebec_education,0.20533190382210945
provincial_set_overall_imputer_nonorm_discretized: Saskatchewan_education,0.0
provincial_set_overall_imputer_nonorm_discretized: Yukon_education,0.0
provincial_set_overall_imputer_nonorm_nondiscretized: Alberta_education,8975434.099533489
provincial_set_overall_imputer_nonorm_nondiscretized: British Columbia_education,164099325.62431413
provincial_set_overall_imputer_nonorm_nondiscretized: Manitoba_education,6427880.439495648
provincial_set_overall_imputer_nonorm_nondiscretized: New Brunswick_education,13431616.033224808
provincial_set_overall_imputer_nonorm_nondiscretized: Newfoundland and Labrador_education,1012182.2595611218
provincial_set_overall_imputer_nonorm_nondiscretized: Northwestern_education,394246.6196293381
provincial_set_overall_imputer_nonorm_nondiscretized: Nova Scotia_education,4070715.403626658
provincial_set_overall_imputer_nonorm_nondiscretized: Nunavut_education,382837.9799587012
provincial_set_overall_imputer_nonorm_nondiscretized: Ontario_education,608712230.3197714
provincial_set_overall_imputer_nonorm_nondiscretized: Prince Edward Island_education,117000.78631802088
provincial_set_overall_imputer_nonorm_nondiscretized: Quebec_education,1533190675.5661688
provincial_set_overall_imputer_nonorm_nondiscretized: Saskatchewan_education,1240310.9275015702
provincial_set_overall_imputer_nonorm_nondiscretized: Yukon_education,964900.8700658791
provincial_set_overall_imputer_std_discretized: Alberta_education,0.004547239193874332
provincial_set_overall_imputer_std_discretized: British Columbia_education,0.09544618942842852
provincial_set_overall_imputer_std_discretized: Manitoba_education,0.0
provincial_set_overall_imputer_std_discretized: New Brunswick_education,0.0
provincial_set_overall_imputer_std_discretized: Newfoundland and Labrador_education,0.0
provincial_set_overall_imputer_std_discretized: Northwestern_education,2.5679065925163143e-34
provincial_set_overall_imputer_std_discretized: Nova Scotia_education,0.0
provincial_set_overall_imputer_std_discretized: Nunavut_education,1.5407439555097887e-33
provincial_set_overall_imputer_std_discretized: Ontario_education,0.03919727718415845
provincial_set_overall_imputer_std_discretized: Prince Edward Island_education,0.0
provincial_set_overall_imputer_std_discretized: Quebec_education,0.2053319038221096
provincial_set_overall_imputer_std_discretized: Saskatchewan_education,0.0
provincial_set_overall_imputer_std_discretized: Yukon_education,0.0
provincial_set_overall_imputer_std_nondiscretized: Alberta_education,3.724123128285933e-05
