Index,MSE
provincial_set_overall_imputer_minmax_discretized: Alberta_education,0.008641849577360692
provincial_set_overall_imputer_minmax_discretized: British Columbia_education,0.08701105066073973
provincial_set_overall_imputer_minmax_discretized: Manitoba_education,0.0
provincial_set_overall_imputer_minmax_discretized: New Brunswick_education,0.0
provincial_set_overall_imputer_minmax_discretized: Newfoundland and Labrador_education,0.0
provincial_set_overall_imputer_minmax_discretized: Northwestern_education,1.2037062152420224e-33
provincial_set_overall_imputer_minmax_discretized: Nova Scotia_education,0.0
provincial_set_overall_imputer_minmax_discretized: Nunavut_education,1.925929944387236e-34
provincial_set_overall_imputer_minmax_discretized: Ontario_education,0.09735320406745267
provincial_set_overall_imputer_minmax_discretized: Prince Edward Island_education,0.0
provincial_set_overall_imputer_minmax_discretized: Quebec_education,0.1278663408379276
provincial_set_overall_imputer_minmax_discretized: Saskatchewan_education,0.0
provincial_set_overall_imputer_minmax_discretized: Yukon_education,0.0
provincial_set_overall_imputer_minmax_nondiscretized: Alberta_education,2.7449914614667156e-05
provincial_set_overall_imputer_minmax_nondiscretized: British Columbia_education,0.00012309117222024995
provincial_set_overall_imputer_minmax_nondiscretized: Manitoba_education,0.000175603107350546
provincial_set_overall_imputer_minmax_nondiscretized: New Brunswick_education,1.0250830714945309e-05
provincial_set_overall_imputer_minmax_nondiscretized: Newfoundland and Labrador_education,2.2724539102700817e-06
provincial_set_overall_imputer_minmax_nondiscretized: Northwestern_education,7.953411127046076e-06
provincial_set_overall_imputer_minmax_nondiscretized: Nova Scotia_education,1.7640208814639123e-06
provincial_set_overall_imputer_minmax_nondiscretized: Nunavut_education,2.648038232055927e-06
provincial_set_overall_imputer_minmax_nondiscretized: Ontario_education,0.0038647925773507576
provincial_set_overall_imputer_minmax_nondiscretized: Prince Edward Island_education,1.6722168823254058e-07
provincial_set_overall_imputer_minmax_nondiscretized: Quebec_education,0.0001616380500365217
provincial_set_overall_imputer_minmax_nondiscretized: Saskatchewan_education,2.530878811182792e-05
provincial_set_overall_imputer_minmax_nondiscretized: Yukon_education,9.781356069069881e-06
provincial_set_overall_imputer_nonorm_discretized: Alberta_education,0.015458353847534613
provincial_set_overall_imputer_nonorm_discretized: British Columbia_education,0.0870110506607397
provincial_set_overall_imputer_nonorm_discretized: Manitoba_education,0.0
provincial_set_overall_imputer_nonorm_discretized: New Brunswick_education,0.0
provincial_set_overall_imputer_nonorm_discretized: Newfoundland and Labrador_education,0.0
provincial_set_overall_imputer_nonorm_discretized: Northwestern_education,3.9000081373841526e-33
provincial_set_overall_imputer_nonorm_discretized: Nova Scotia_education,0.0
