Index,MSE
provincial_set_overall_imputer_minmax_discretized: Alberta_economics,2.3248826734729566
provincial_set_overall_imputer_minmax_nondiscretized: Alberta_economics,0.003792552000787179
provincial_set_overall_imputer_nonorm_discretized: Alberta_economics,2.3604663414063576
provincial_set_overall_imputer_nonorm_nondiscretized: Alberta_economics,575340508.4222001
provincial_set_overall_imputer_std_discretized: Alberta_economics,0.5905028844634207
provincial_set_overall_imputer_std_nondiscretized: Alberta_economics,0.1698130581818908
provincial_set_overall_nega_minmax_discretized: Alberta_economics,0.6894128950269558
provincial_set_overall_nega_minmax_nondiscretized: Alberta_economics,0.0038759681346190785
provincial_set_overall_nega_nonorm_discretized: Alberta_economics,0.39682875570845955
provincial_set_overall_nega_nonorm_nondiscretized: Alberta_economics,705154208.8676615
provincial_set_overall_nega_std_discretized: Alberta_economics,0.3922406956656617
provincial_set_overall_nega_std_nondiscretized: Alberta_economics,0.10694652905297125
