Index,MSE
provincial_set_overall_imputer_minmax_discretized: Alberta_education,0.8821657902215262
provincial_set_overall_imputer_minmax_nondiscretized: Alberta_education,2414.8373941997575
provincial_set_overall_imputer_nonorm_discretized: Alberta_education,1.7312301986632006
provincial_set_overall_imputer_nonorm_nondiscretized: Alberta_education,34793021111412.703
provincial_set_overall_imputer_std_discretized: Alberta_education,0.7609974773266247
provincial_set_overall_imputer_std_nondiscretized: Alberta_education,34819.07755444261
provincial_set_overall_nega_minmax_discretized: Alberta_education,3.612316663952951e+18
provincial_set_overall_nega_minmax_nondiscretized: Alberta_education,115670.41217499999
provincial_set_overall_nega_nonorm_discretized: Alberta_education,3.157827937002485e+18
provincial_set_overall_nega_nonorm_nondiscretized: Alberta_education,483455006151038.56
provincial_set_overall_nega_std_discretized: Alberta_education,3.612517441946345e+18
provincial_set_overall_nega_std_nondiscretized: Alberta_education,2559824.89731279
