Index,MSE
provincial_set_detailed_imputer_minmax_discretized: Alberta_economics,0.31386347642505397
provincial_set_detailed_imputer_minmax_discretized: British Columbia_economics,0.23371647509578583
provincial_set_detailed_imputer_minmax_discretized: Manitoba_economics,0.28327158734682245
provincial_set_detailed_imputer_minmax_discretized: New Brunswick_economics,0.018310059846109995
provincial_set_detailed_imputer_minmax_discretized: Newfoundland and Labrador_economics,0.06855743725770251
provincial_set_detailed_imputer_minmax_discretized: Northwestern_economics,0.02973258268824773
provincial_set_detailed_imputer_minmax_discretized: Nova Scotia_economics,0.022868773946360145
provincial_set_detailed_imputer_minmax_discretized: Nunavut_economics,0.0074331456720619325
provincial_set_detailed_imputer_minmax_discretized: Ontario_economics,0.5172413793103418
provincial_set_detailed_imputer_minmax_discretized: Prince Edward Island_economics,0.01189060642092747
provincial_set_detailed_imputer_minmax_discretized: Quebec_economics,0.15172413793103434
provincial_set_detailed_imputer_minmax_discretized: Saskatchewan_economics,0.5929118773946362
provincial_set_detailed_imputer_minmax_discretized: Yukon_economics,0.03222222222222222
provincial_set_detailed_imputer_minmax_nondiscretized: Alberta_economics,0.0027381875121901306
provincial_set_detailed_imputer_minmax_nondiscretized: British Columbia_economics,304.47365547938654
provincial_set_detailed_imputer_minmax_nondiscretized: Manitoba_economics,0.00124671710519782
provincial_set_detailed_imputer_minmax_nondiscretized: New Brunswick_economics,0.00025761950454668563
provincial_set_detailed_imputer_minmax_nondiscretized: Newfoundland and Labrador_economics,12.642397409237924
provincial_set_detailed_imputer_minmax_nondiscretized: Northwestern_economics,2.029700131794619
provincial_set_detailed_imputer_minmax_nondiscretized: Nova Scotia_economics,0.059242720787374026
provincial_set_detailed_imputer_minmax_nondiscretized: Nunavut_economics,0.00011786814246053731
provincial_set_detailed_imputer_minmax_nondiscretized: Ontario_economics,0.556069084157855
provincial_set_detailed_imputer_minmax_nondiscretized: Prince Edward Island_economics,0.0006248508736428779
provincial_set_detailed_imputer_minmax_nondiscretized: Quebec_economics,11842433452003.277
provincial_set_detailed_imputer_minmax_nondiscretized: Saskatchewan_economics,0.002161541651611338
provincial_set_detailed_imputer_minmax_nondiscretized: Yukon_economics,0.06825642364919275
provincial_set_detailed_imputer_nonorm_discretized: Alberta_economics,0.31597466572836147
provincial_set_detailed_imputer_nonorm_discretized: British Columbia_economics,0.2375478927203069
provincial_set_detailed_imputer_nonorm_discretized: Manitoba_economics,0.29011114277571953
provincial_set_detailed_imputer_nonorm_discretized: New Brunswick_economics,0.0189512681675691
provincial_set_detailed_imputer_nonorm_discretized: Newfoundland and Labrador_economics,0.0687614772495409
provincial_set_detailed_imputer_nonorm_discretized: Northwestern_economics,0.02973258268824773
provincial_set_detailed_imputer_nonorm_discretized: Nova Scotia_economics,0.023766762452107265
provincial_set_detailed_imputer_nonorm_discretized: Nunavut_economics,0.0074771287825475055
provincial_set_detailed_imputer_nonorm_discretized: Ontario_economics,0.5172413793103418
provincial_set_detailed_imputer_nonorm_discretized: Prince Edward Island_economics,0.01189060642092747
provincial_set_detailed_imputer_nonorm_discretized: Quebec_economics,0.16275862068965505
provincial_set_detailed_imputer_nonorm_discretized: Saskatchewan_economics,0.5929118773946362
provincial_set_detailed_imputer_nonorm_discretized: Yukon_economics,0.03283524904214559
provincial_set_detailed_imputer_nonorm_nondiscretized: Alberta_economics,644327921.3680904
provincial_set_detailed_imputer_nonorm_nondiscretized: British Columbia_economics,263108187465.87424
provincial_set_detailed_imputer_nonorm_nondiscretized: Manitoba_economics,6040442.379626713
provincial_set_detailed_imputer_nonorm_nondiscretized: New Brunswick_economics,88313381.60576785
provincial_set_detailed_imputer_nonorm_nondiscretized: Newfoundland and Labrador_economics,2996970452.280282
provincial_set_detailed_imputer_nonorm_nondiscretized: Northwestern_economics,110533145.91090651
provincial_set_detailed_imputer_nonorm_nondiscretized: Nova Scotia_economics,2184095449.0436864
provincial_set_detailed_imputer_nonorm_nondiscretized: Nunavut_economics,176305.47001954436
provincial_set_detailed_imputer_nonorm_nondiscretized: Ontario_economics,10935946926.867634
provincial_set_detailed_imputer_nonorm_nondiscretized: Prince Edward Island_economics,46739808.65716364
provincial_set_detailed_imputer_nonorm_nondiscretized: Quebec_economics,26820350394.01618
provincial_set_detailed_imputer_nonorm_nondiscretized: Saskatchewan_economics,61437264.22231934
provincial_set_detailed_imputer_nonorm_nondiscretized: Yukon_economics,756378.1701737647
provincial_set_detailed_imputer_std_discretized: Alberta_economics,0.3138634764250538
