Index,MSE
provincial_set_detailed_imputer_minmax_discretized: Alberta_education,0.1830209344159141
provincial_set_detailed_imputer_minmax_discretized: British Columbia_education,23.118607914996623
provincial_set_detailed_imputer_minmax_discretized: Manitoba_education,0.09384877949515044
provincial_set_detailed_imputer_minmax_discretized: New Brunswick_education,0.19346879703161857
provincial_set_detailed_imputer_minmax_discretized: Newfoundland and Labrador_education,0.19999999999999937
provincial_set_detailed_imputer_minmax_discretized: Northwestern_education,4.3953708005901606e-29
provincial_set_detailed_imputer_minmax_discretized: Nova Scotia_education,6.211410597355977e+22
provincial_set_detailed_imputer_minmax_discretized: Nunavut_education,2.7999554717490514e-30
provincial_set_detailed_imputer_minmax_discretized: Ontario_education,3.3057395918266983
provincial_set_detailed_imputer_minmax_discretized: Prince Edward Island_education,0.2
provincial_set_detailed_imputer_minmax_discretized: Quebec_education,2.553519249673266
provincial_set_detailed_imputer_minmax_discretized: Saskatchewan_education,0.3195401123938045
provincial_set_detailed_imputer_minmax_discretized: Yukon_education,0.0
provincial_set_detailed_imputer_minmax_nondiscretized: Alberta_education,0.025534124907076933
provincial_set_detailed_imputer_minmax_nondiscretized: British Columbia_education,0.023630173861592312
provincial_set_detailed_imputer_minmax_nondiscretized: Manitoba_education,0.0016902770226802082
provincial_set_detailed_imputer_minmax_nondiscretized: New Brunswick_education,0.0006434481990262499
provincial_set_detailed_imputer_minmax_nondiscretized: Newfoundland and Labrador_education,8.45735600165738e-05
provincial_set_detailed_imputer_minmax_nondiscretized: Northwestern_education,3.1253348469811944e-06
provincial_set_detailed_imputer_minmax_nondiscretized: Nova Scotia_education,0.000359625719114114
provincial_set_detailed_imputer_minmax_nondiscretized: Nunavut_education,1.1403402206963797e-05
provincial_set_detailed_imputer_minmax_nondiscretized: Ontario_education,0.11401754604338128
provincial_set_detailed_imputer_minmax_nondiscretized: Prince Edward Island_education,3.2120566894621764e-05
provincial_set_detailed_imputer_minmax_nondiscretized: Quebec_education,0.010752398133622698
provincial_set_detailed_imputer_minmax_nondiscretized: Saskatchewan_education,0.00023400526173096684
provincial_set_detailed_imputer_minmax_nondiscretized: Yukon_education,7.176871535636401e-06
provincial_set_detailed_imputer_nonorm_discretized: Alberta_education,0.1564917969707785
provincial_set_detailed_imputer_nonorm_discretized: British Columbia_education,8.0945756145444
provincial_set_detailed_imputer_nonorm_discretized: Manitoba_education,0.03062347756631264
provincial_set_detailed_imputer_nonorm_discretized: New Brunswick_education,0.19611864703434684
provincial_set_detailed_imputer_nonorm_discretized: Newfoundland and Labrador_education,0.030118575548640298
provincial_set_detailed_imputer_nonorm_discretized: Northwestern_education,6.571163192242418e-29
provincial_set_detailed_imputer_nonorm_discretized: Nova Scotia_education,3.589303871726705e+23
provincial_set_detailed_imputer_nonorm_discretized: Nunavut_education,6.357051782535056e-29
provincial_set_detailed_imputer_nonorm_discretized: Ontario_education,3.5691604609244116
provincial_set_detailed_imputer_nonorm_discretized: Prince Edward Island_education,0.2
provincial_set_detailed_imputer_nonorm_discretized: Quebec_education,1.5450824251240456
provincial_set_detailed_imputer_nonorm_discretized: Saskatchewan_education,0.3153131913181687
provincial_set_detailed_imputer_nonorm_discretized: Yukon_education,0.0
provincial_set_detailed_imputer_nonorm_nondiscretized: Alberta_education,3342461790.9279847
provincial_set_detailed_imputer_nonorm_nondiscretized: British Columbia_education,20630952032.37165
provincial_set_detailed_imputer_nonorm_nondiscretized: Manitoba_education,3755318248.5482054
provincial_set_detailed_imputer_nonorm_nondiscretized: New Brunswick_education,185373254.29251048
provincial_set_detailed_imputer_nonorm_nondiscretized: Newfoundland and Labrador_education,29113462.566224843
provincial_set_detailed_imputer_nonorm_nondiscretized: Northwestern_education,2680917.4547842843
provincial_set_detailed_imputer_nonorm_nondiscretized: Nova Scotia_education,88995492.20766434
provincial_set_detailed_imputer_nonorm_nondiscretized: Nunavut_education,21538453.133716945
provincial_set_detailed_imputer_nonorm_nondiscretized: Ontario_education,400023600325.87036
provincial_set_detailed_imputer_nonorm_nondiscretized: Prince Edward Island_education,1565514.233210076
provincial_set_detailed_imputer_nonorm_nondiscretized: Quebec_education,36626314248.524025
provincial_set_detailed_imputer_nonorm_nondiscretized: Saskatchewan_education,114954369.67745137
provincial_set_detailed_imputer_nonorm_nondiscretized: Yukon_education,6098468.639693791
provincial_set_detailed_imputer_std_discretized: Alberta_education,0.17788226251600986
provincial_set_detailed_imputer_std_discretized: British Columbia_education,18.721079243461922
provincial_set_detailed_imputer_std_discretized: Manitoba_education,0.008152447566800999
provincial_set_detailed_imputer_std_discretized: New Brunswick_education,0.1938245304188702
provincial_set_detailed_imputer_std_discretized: Newfoundland and Labrador_education,0.468714384567203
provincial_set_detailed_imputer_std_discretized: Northwestern_education,5.9194804991702766e-30
provincial_set_detailed_imputer_std_discretized: Nova Scotia_education,0.23235862132341029
provincial_set_detailed_imputer_std_discretized: Nunavut_education,8.20334452372188e-30
provincial_set_detailed_imputer_std_discretized: Ontario_education,4.203200618379119
provincial_set_detailed_imputer_std_discretized: Prince Edward Island_education,0.2
provincial_set_detailed_imputer_std_discretized: Quebec_education,2.4569860882720276
provincial_set_detailed_imputer_std_discretized: Saskatchewan_education,0.9807489141474577
provincial_set_detailed_imputer_std_discretized: Yukon_education,0.0
provincial_set_detailed_imputer_std_nondiscretized: Alberta_education,0.47538185257108206
provincial_set_detailed_imputer_std_nondiscretized: British Columbia_education,3.2773796008051788
provincial_set_detailed_imputer_std_nondiscretized: Manitoba_education,0.07853159716826305
provincial_set_detailed_imputer_std_nondiscretized: New Brunswick_education,0.05681976621362957
provincial_set_detailed_imputer_std_nondiscretized: Newfoundland and Labrador_education,0.0016807194069086348
provincial_set_detailed_imputer_std_nondiscretized: Northwestern_education,9.519646263703331e-05
provincial_set_detailed_imputer_std_nondiscretized: Nova Scotia_education,0.030932106810083924
provincial_set_detailed_imputer_std_nondiscretized: Nunavut_education,0.00029352426664390507
provincial_set_detailed_imputer_std_nondiscretized: Ontario_education,5.6928989090492115
provincial_set_detailed_imputer_std_nondiscretized: Prince Edward Island_education,0.002875211772933207
provincial_set_detailed_imputer_std_nondiscretized: Quebec_education,2.021285236323342
provincial_set_detailed_imputer_std_nondiscretized: Saskatchewan_education,0.7859573532720645
provincial_set_detailed_imputer_std_nondiscretized: Yukon_education,0.0007537637127591047
provincial_set_detailed_nega_minmax_discretized: Alberta_education,3.363388549727145
provincial_set_detailed_nega_minmax_discretized: British Columbia_education,26.563051173310356
provincial_set_detailed_nega_minmax_discretized: Manitoba_education,6.943295766644122
provincial_set_detailed_nega_minmax_discretized: New Brunswick_education,0.42821445859669066
