Index,MSE
provincial_set_overall_imputer_minmax_discretized: Alberta_education,0.12754991463992402
provincial_set_overall_imputer_minmax_discretized: British Columbia_education,1.3782595457245588
provincial_set_overall_imputer_minmax_discretized: Manitoba_education,0.0
provincial_set_overall_imputer_minmax_discretized: New Brunswick_education,0.0
provincial_set_overall_imputer_minmax_discretized: Newfoundland and Labrador_education,0.0
provincial_set_overall_imputer_minmax_discretized: Northwestern_education,1.7909735807975726e-33
provincial_set_overall_imputer_minmax_discretized: Nova Scotia_education,0.0
provincial_set_overall_imputer_minmax_discretized: Nunavut_education,1.4548774402034077e-32
provincial_set_overall_imputer_minmax_discretized: Ontario_education,1.399168735216351
provincial_set_overall_imputer_minmax_discretized: Prince Edward Island_education,0.0
provincial_set_overall_imputer_minmax_discretized: Quebec_education,0.040077694391671415
provincial_set_overall_imputer_minmax_discretized: Saskatchewan_education,0.0
provincial_set_overall_imputer_minmax_discretized: Yukon_education,0.0
provincial_set_overall_imputer_minmax_nondiscretized: Alberta_education,0.0012612468392466248
provincial_set_overall_imputer_minmax_nondiscretized: British Columbia_education,0.00045623811740910986
provincial_set_overall_imputer_minmax_nondiscretized: Manitoba_education,0.0008904451265598839
provincial_set_overall_imputer_minmax_nondiscretized: New Brunswick_education,0.00013764059125149242
provincial_set_overall_imputer_minmax_nondiscretized: Newfoundland and Labrador_education,0.0002857630284696666
provincial_set_overall_imputer_minmax_nondiscretized: Northwestern_education,2.6998160260078985e-06
provincial_set_overall_imputer_minmax_nondiscretized: Nova Scotia_education,1.736723857682897e-05
provincial_set_overall_imputer_minmax_nondiscretized: Nunavut_education,2.258082574270072e-07
provincial_set_overall_imputer_minmax_nondiscretized: Ontario_education,0.053547521652165066
provincial_set_overall_imputer_minmax_nondiscretized: Prince Edward Island_education,3.864545049711234e-06
provincial_set_overall_imputer_minmax_nondiscretized: Quebec_education,0.010496372304054048
provincial_set_overall_imputer_minmax_nondiscretized: Saskatchewan_education,2.301764976011839e-05
provincial_set_overall_imputer_minmax_nondiscretized: Yukon_education,0.00043545840039948684
provincial_set_overall_imputer_nonorm_discretized: Alberta_education,0.08650029677815013
provincial_set_overall_imputer_nonorm_discretized: British Columbia_education,1.3093308632385936
provincial_set_overall_imputer_nonorm_discretized: Manitoba_education,0.0
provincial_set_overall_imputer_nonorm_discretized: New Brunswick_education,0.0
provincial_set_overall_imputer_nonorm_discretized: Newfoundland and Labrador_education,0.0
provincial_set_overall_imputer_nonorm_discretized: Northwestern_education,4.1334238879009997e-32
provincial_set_overall_imputer_nonorm_discretized: Nova Scotia_education,0.0
provincial_set_overall_imputer_nonorm_discretized: Nunavut_education,2.6146061189549474e-34
provincial_set_overall_imputer_nonorm_discretized: Ontario_education,0.7392563707348442
provincial_set_overall_imputer_nonorm_discretized: Prince Edward Island_education,0.0
provincial_set_overall_imputer_nonorm_discretized: Quebec_education,0.059983288449250514
provincial_set_overall_imputer_nonorm_discretized: Saskatchewan_education,0.0
provincial_set_overall_imputer_nonorm_discretized: Yukon_education,0.0
provincial_set_overall_imputer_nonorm_nondiscretized: Alberta_education,534151472.6925044
provincial_set_overall_imputer_nonorm_nondiscretized: British Columbia_education,64358609999.483986
provincial_set_overall_imputer_nonorm_nondiscretized: Manitoba_education,359297502.9723498
