Index,MSE
canada_set_detailed_imputer_minmax_discretized: Canada_economics,19.34799621183719
canada_set_detailed_imputer_minmax_nondiscretized: Canada_economics,8035.141950549315
canada_set_detailed_imputer_nonorm_discretized: Canada_economics,19.16371543692808
canada_set_detailed_imputer_nonorm_nondiscretized: Canada_economics,6.327411542101133e+18
canada_set_detailed_imputer_std_discretized: Canada_economics,28.91232971056169
canada_set_detailed_imputer_std_nondiscretized: Canada_economics,406209.000787491
canada_set_detailed_nega_minmax_discretized: Canada_economics,14.201700672134368
canada_set_detailed_nega_minmax_nondiscretized: Canada_economics,253752867431171.16
canada_set_detailed_nega_nonorm_discretized: Canada_economics,60.8020549329922
canada_set_detailed_nega_nonorm_nondiscretized: Canada_economics,1126760815556612.2
canada_set_detailed_nega_std_discretized: Canada_economics,60.69700185787344
canada_set_detailed_nega_std_nondiscretized: Canada_economics,1273057309089628.0
