Index,MSE
canada_set_overall_imputer_minmax_discretized: Canada_economics,3.053024963675688
canada_set_overall_imputer_minmax_nondiscretized: Canada_economics,0.00566608615161034
canada_set_overall_imputer_nonorm_discretized: Canada_economics,3.053024963675688
canada_set_overall_imputer_nonorm_nondiscretized: Canada_economics,1220972200.7970834
canada_set_overall_imputer_std_discretized: Canada_economics,2.9987699865149473
canada_set_overall_imputer_std_nondiscretized: Canada_economics,1.771902402419684
canada_set_overall_nega_minmax_discretized: Canada_economics,0.26949929593497607
canada_set_overall_nega_minmax_nondiscretized: Canada_economics,0.013017543482679106
canada_set_overall_nega_nonorm_discretized: Canada_economics,0.213475424086348
canada_set_overall_nega_nonorm_nondiscretized: Canada_economics,9941967864260.646
canada_set_overall_nega_std_discretized: Canada_economics,0.30211713517337396
canada_set_overall_nega_std_nondiscretized: Canada_economics,0.04097737853798502
