,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments_Canada,1.0,0.0,0.37392675408575204,0.45817507062741014
"2_Number of students in elementary and secondary schools_Public school Total, program type",1.0,0.0,0.3708942179003114,0.5830662216019011
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",1.0,0.0,0.2900175033715757,0.2244975186104219
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",1.0,0.0,0.18960289806631472,0.10908568585407459
3_Number of full-time and part-time educators_Canada,1.0000000000000009,0.0,0.34557256758805427,0.47686819364152266
"1_Live births_Canada, place of residence of mother 10",1.0,0.0,0.2839747225233888,0.516196344637669
1_Live births_Place of residence of mother outside Canada 11,1.0,0.0,0.24518195513854932,0.38650565782806956
6_Estimates of population_Canada,1.0,0.0,0.3158468310783548,0.34914770105047943
7_Dependency ratio_Canada,1.0,0.0,0.2587704963530821,0.2991675338189383
5_Household spending_Food purchased from stores,1.0,0.0,0.20555200034011914,0.15537525354969553
5_Household spending_Food purchased from restaurants,1.0,0.0,0.2690400805759032,0.23119975577490615
5_Household spending_Rented living quarters,1.0,0.0,0.2543776343231749,0.3533883004333169
5_Household spending_Owned living quarters,1.0,0.0,0.21368074373350715,0.24862971669168368
"5_Household spending_Water, fuel and electricity for principal accommodation",0.9999999999999992,0.0,0.23254393260889528,0.4848667150710509
5_Household spending_Other accommodation,1.0,0.0,0.24793283906522334,0.48911900243968554
5_Household spending_Communications,1.0,0.0,0.2266311794319238,0.2820773081201335
5_Household spending_Household furnishings,1.0,0.0,0.18362313401266128,0.25264038231780167
5_Household spending_Household appliances,1.0,0.0,0.21211923776010222,0.317172107398107
5_Household spending_Clothing and accessories,1.0,0.0,0.2095735627287497,0.5177808944989863
5_Household spending_Private transportation,0.9999999999999992,0.0,0.22708368294647435,0.32005218216318754
5_Household spending_Public transportation,1.0,0.0,0.2017239122941905,0.25450766032797
5_Household spending_Direct health care costs to household,1.0000000000000009,0.0,0.2198343042675604,0.2771326164874559
5_Household spending_Personal care,1.0,0.0,0.19738628440760744,0.49690767519466095
5_Household spending_Recreational equipment and related services,1.0,0.0,0.19077690036741352,0.516436251920123
5_Household spending_Home entertainment equipment and services,1.0,0.0,0.2360851958866116,0.4412136250845928
5_Household spending_Recreational services,1.0,0.0,0.19702504543706728,0.33878439398369214
5_Household spending_Recreational vehicles and associated services,1.0,0.0,0.15486985835626324,0.36801882874152014
5_Household spending_Education,1.0,0.0,0.2314403958758493,0.43549920760697297
5_Household spending_Reading materials and other printed matter,1.0000000000000002,0.0,0.23831244212521635,0.5415913978494625
"5_Household spending_Tobacco products, alcoholic beverages and cannabis for non-medical use",0.0,0.0,0.0,0.0
5_Household spending_Tobacco products and alcoholic beverages (Terminated),0.9999999999999992,0.0,0.24075817878647426,0.28037429204629355
5_Household spending_Games of chance,1.0,0.0,0.18877580508727987,0.3549308755760367
5_Household spending_Miscellaneous expenditures,1.0,0.0,0.21645037332161138,0.5361915265141071
5_Household spending_Income taxes 8,1.0,0.0,0.22461185268130088,0.3207130018784546
5_Household spending_Personal insurance payments and pension contributions,1.0,0.0,0.25420586669946793,0.41422986708365933
"5_Household spending_Gifts of money, support payments and charitable contributions",1.0,0.0,0.2238091902407218,0.33881737525001265
4_Canada_gdp_yearly_Durable goods,1.0,0.0,0.33015967004487273,0.46042487258812276
4_Canada_gdp_yearly_Semi-durable goods,1.0,0.0,0.31715158050511577,0.4326836958511493
4_Canada_gdp_yearly_Non-durable goods,0.9999999999999998,0.0,0.3012908734675058,0.46403785699084626
4_Canada_gdp_yearly_Services,1.0,0.0,0.32557925959867706,0.47826235804510886
4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,1.0,0.0,0.30635846462528254,0.5264451420753055
4_Canada_gdp_yearly_General governments final consumption expenditure,1.0000000000000002,0.0,0.3009389592587109,0.3888975746521329
4_Canada_gdp_yearly_Non-residential structures,1.0,0.0,0.2841437683535675,0.3891635855625696
4_Canada_gdp_yearly_Machinery and equipment,1.0,0.0,0.3317542308269823,0.6147518766068536
4_Canada_gdp_yearly_Intellectual property products,1.0,0.0,0.29878275076265254,0.6272435011388969
4_Canada_gdp_yearly_Residential structures,1.0,0.0,0.2770082943213698,0.4237867616641644
