,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments_Canada,1.4729657989728868,-1.2455613841128357,1.0165300454651272,-3.5097373036537205e-16
"2_Number of students in elementary and secondary schools_Public school Total, program type",1.142713184126492,-1.5980414472610185,1.0165300454651274,9.397500698762615e-15
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2.718186190490904,-0.7868782750931945,1.016530045465127,-2.1488187573390127e-16
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",4.77651543041044,-0.58484800776649,1.016530045465127,-5.730183352904034e-17
3_Number of full-time and part-time educators_Canada,1.5388351066562451,-1.402746896105326,1.016530045465127,-3.710293721005362e-15
"1_Live births_Canada, place of residence of mother 10",1.7318476356329895,-1.847802117810836,1.0165300454651272,-1.2989721305757942e-15
1_Live births_Place of residence of mother outside Canada 11,2.5435617037486384,-1.6024613789480409,1.0165300454651272,1.5041731301373088e-16
6_Estimates of population_Canada,2.094720769505226,-1.1237064725681565,1.016530045465127,-9.884566283759457e-16
7_Dependency ratio_Canada,2.7530853352710207,-1.1752220250785643,1.0165300454651272,6.604036314221899e-15
5_Household spending_Food purchased from stores,4.176979209588955,-0.7683876259714542,1.0165300454651272,1.0744093786695064e-15
5_Household spending_Food purchased from restaurants,2.904803423872197,-0.8735557086747392,1.016530045465127,-1.7477059226357303e-15
5_Household spending_Rented living quarters,2.5839544506642205,-1.4121910759258771,1.0165300454651272,6.87622002348484e-16
5_Household spending_Owned living quarters,3.5744468823316766,-1.1827906099380876,1.0165300454651272,4.297637514678025e-17
"5_Household spending_Water, fuel and electricity for principal accommodation",2.251825948218241,-2.1195202918695664,1.0165300454651272,-1.919611423222851e-15
5_Household spending_Other accommodation,2.09462322794859,-2.005398573510756,1.0165300454651272,1.6187767971953895e-15
5_Household spending_Communications,3.220165859112532,-1.2652277571285002,1.0165300454651272,1.2463148792566274e-15
5_Household spending_Household furnishings,4.137351811503781,-1.3986066663372227,1.0165300454651272,3.3235063446843394e-15
5_Household spending_Household appliances,3.2722872099723133,-1.5199704664143,1.0165300454651267,-2.2490969660148332e-15
5_Household spending_Clothing and accessories,2.3389887677461845,-2.511480118831927,1.016530045465127,-5.543952393934653e-15
5_Household spending_Private transportation,3.0437562805535747,-1.4326994131156667,1.0165300454651272,6.303201688194437e-16
5_Household spending_Public transportation,3.756695739846292,-1.2825186691159831,1.0165300454651272,-4.584146682323227e-16
5_Household spending_Direct health care costs to household,3.3425921248983874,-1.2814816694622415,1.016530045465127,-4.770377641292608e-15
5_Household spending_Personal care,2.5909017201593247,-2.559051066661304,1.0165300454651272,-7.019474607307441e-16
5_Household spending_Recreational equipment and related services,2.5766069051035227,-2.7517637912827326,1.016530045465127,-7.879002110243047e-17
5_Household spending_Home entertainment equipment and services,2.406009139899079,-1.8997671780423144,1.0165300454651272,-1.6617531723421697e-15
5_Household spending_Recreational services,3.411472529063329,-1.7479225275911403,1.016530045465127,1.6617531723421697e-15
5_Household spending_Recreational vehicles and associated services,4.148178706760636,-2.415590746212566,1.0165300454651272,6.76877908561789e-16
