,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments_Canada,1.063684437547381,-3.1003028688852368,1.016530045465127,6.446456272017038e-17
"2_Number of students in elementary and secondary schools_Public school Total, program type",0.6287276353812191,-1.8492123235846565,1.0165300454651272,-5.372046893347532e-17
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",1.2720874892872969,-0.9639498100716098,1.0165300454651272,7.162729191130042e-18
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",3.604108665349973,-0.7962463217169039,1.016530045465127,-7.162729191130042e-17
3_Number of full-time and part-time educators_Canada,1.1592429252104703,-0.9660091350809066,1.016530045465127,4.297637514678025e-17
"1_Live births_Canada, place of residence of mother 10",1.7318476356329895,-1.847802117810836,1.0165300454651272,-1.2989721305757942e-15
1_Live births_Place of residence of mother outside Canada 11,2.5435617037486384,-1.6024613789480409,1.0165300454651272,1.5041731301373088e-16
6_Estimates of population_Canada,0.9199821320201494,-1.43995599842637,1.0165300454651272,-3.9395010551215234e-17
7_Dependency ratio_Canada,0.8333712743590425,-1.447050638221049,1.0165300454651267,1.0744093786695064e-16
5_Household spending_Food purchased from stores,2.0812585396941223,-0.635509885843961,1.0165300454651272,5.0139104337910294e-17
5_Household spending_Food purchased from restaurants,1.9093409390254024,-0.635776610019193,1.016530045465127,-7.879002110243047e-17
5_Household spending_Rented living quarters,1.88429744251832,-0.6352154776421506,1.0165300454651272,7.162729191130042e-18
5_Household spending_Owned living quarters,2.057835475991837,-0.6345086308470296,1.0165300454651274,3.581364595565021e-17
"5_Household spending_Water, fuel and electricity for principal accommodation",1.682554905880721,-0.6387851888846446,1.0165300454651272,5.0139104337910294e-17
5_Household spending_Other accommodation,1.8634503275283776,-0.632913926862367,1.016530045465127,5.0139104337910294e-17
5_Household spending_Communications,2.1173430665834467,-0.6316670981547104,1.0165300454651272,-3.581364595565021e-17
5_Household spending_Household furnishings,1.9750176821859784,-0.6366966342071508,1.0165300454651272,6.446456272017038e-17
5_Household spending_Household appliances,1.9816587989753305,-0.6348315191048235,1.0165300454651272,4.297637514678025e-17
5_Household spending_Clothing and accessories,1.640039755056384,-0.6394217403082599,1.016530045465127,-2.1488187573390126e-17
5_Household spending_Private transportation,1.7248711700395989,-0.6387725321995208,1.0165300454651272,0.0
5_Household spending_Public transportation,2.041377831034481,-0.635188666675338,1.016530045465127,-2.1488187573390126e-17
5_Household spending_Direct health care costs to household,1.839461785406104,-0.6374558033130551,1.016530045465127,-8.59527502935605e-17
5_Household spending_Personal care,1.8771925052708576,-0.6347993979176814,1.0165300454651272,-2.1488187573390126e-17
5_Household spending_Recreational equipment and related services,1.716145464943022,-0.6381313100861133,1.0165300454651272,7.162729191130042e-18
5_Household spending_Home entertainment equipment and services,2.7904233547528903,-0.598444908999373,1.0165300454651272,2.1488187573390126e-17
5_Household spending_Recreational services,2.1449762448013647,-0.6317284630892473,1.0165300454651272,1.0744093786695064e-16
5_Household spending_Recreational vehicles and associated services,2.019651347324333,-0.6354843683494236,1.0165300454651272,-2.1488187573390126e-17
5_Household spending_Education,1.9550487594237,-0.6316023551975513,1.0165300454651272,6.446456272017038e-17
5_Household spending_Reading materials and other printed matter,2.0370673393309526,-0.6305208431262473,1.0165300454651272,-5.0139104337910294e-17
"5_Household spending_Tobacco products, alcoholic beverages and cannabis for non-medical use",5.477225575051661,-0.1825741858350553,1.0165300454651272,4.6557739742345276e-17
5_Household spending_Tobacco products and alcoholic beverages (Terminated),1.967758207658221,-0.587748531206333,1.0165300454651272,7.162729191130042e-18
5_Household spending_Games of chance,2.025459466831054,-0.6334478907533017,1.0165300454651272,1.4325458382260084e-17
5_Household spending_Miscellaneous expenditures,1.8810721921794185,-0.6321507852044194,1.0165300454651272,-1.0744093786695064e-16
5_Household spending_Income taxes 8,1.9639440582657173,-0.6350815542662809,1.0165300454651272,-7.162729191130042e-18
5_Household spending_Personal insurance payments and pension contributions,1.8276928216330488,-0.6358405448511665,1.0165300454651274,-7.162729191130042e-18
"5_Household spending_Gifts of money, support payments and charitable contributions",1.9458673384027405,-0.6348631246064158,1.0165300454651272,6.446456272017038e-17
4_Canada_gdp_yearly_Durable goods,1.6613002088513724,-1.4176041446905616,1.016530045465127,-7.162729191130042e-17
4_Canada_gdp_yearly_Semi-durable goods,1.818354704495117,-1.3868320514596757,1.0165300454651272,-1.217663962492107e-16
4_Canada_gdp_yearly_Non-durable goods,1.8082911550901688,-1.5656246683997843,1.0165300454651272,1.862309589693811e-16
4_Canada_gdp_yearly_Services,1.628979651686108,-1.493240254821898,1.0165300454651272,1.2892912544034077e-16
4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,1.5713055026738605,-1.746801103939669,1.0165300454651272,-9.311547948469055e-17
4_Canada_gdp_yearly_General governments final consumption expenditure,2.064219194991901,-1.3136420429451836,1.016530045465127,-1.4325458382260084e-17
4_Canada_gdp_yearly_Non-residential structures,2.185279556675664,-1.3922405534969884,1.0165300454651274,1.5041731301373088e-16
4_Canada_gdp_yearly_Machinery and equipment,1.1804409891382128,-1.8836647584544128,1.016530045465127,-1.0744093786695063e-17
4_Canada_gdp_yearly_Intellectual property products,1.2682063464758182,-2.134031710675747,1.0165300454651272,-9.311547948469055e-17
4_Canada_gdp_yearly_Residential structures,2.114514551985198,-1.5551591231496151,1.0165300454651272,1.5758004220486094e-16
4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,1.8999320607272072,-1.4920910470082966,1.0165300454651272,-3.581364595565021e-17
4_Canada_gdp_yearly_General governments gross fixed capital formation,1.5732980020351246,-1.3884761269304118,1.016530045465127,7.879002110243047e-17
4_Canada_gdp_yearly_Non-farm,1.565320859638289,-3.1045882654619565,1.0165300454651272,-3.40229636578677e-17
4_Canada_gdp_yearly_Farm,2.514395063320567,-3.3243691158691653,1.0165300454651272,1.4325458382260084e-17
4_Canada_gdp_yearly_Exports of goods,1.235762752019301,-2.3883617985715566,1.016530045465127,9.669684408025557e-17
4_Canada_gdp_yearly_Exports of services,2.0983460012172834,-1.827265208202837,1.0165300454651272,-1.217663962492107e-16
4_Canada_gdp_yearly_Imports of goods,1.3587033346368342,-1.8690564696534604,1.016530045465127,1.7906822977825104e-16
4_Canada_gdp_yearly_Imports of services,1.7553546594812688,-1.248628226541638,1.0165300454651272,2.2920733411616134e-16
4_Canada_gdp_yearly_Statistical discrepancy,2.171170695384728,-2.0179070380172246,1.016530045465127,-4.6557739742345276e-17
4_Canada_gdp_yearly_Gross domestic product at market prices,1.5185322637145957,-1.694580584796832,1.016530045465127,-1.5758004220486094e-16
4_Canada_gdp_yearly_Final domestic demand,1.5432325352958025,-1.4700774656328113,1.0165300454651272,2.435327924984214e-16
8_Canadian government finance statistics for the federal government_Gross operating balance 5 6,0.5244807647386047,-5.120544195715128,1.0165300454651272,2.1488187573390126e-17
"8_Canadian government finance statistics for the federal government_Taxes on income, profits and capital gains",1.7661205334333836,-0.8802835748928631,1.0165300454651272,-7.162729191130042e-17
8_Canadian government finance statistics for the federal government_Taxes on property,1.1019463300386794,-0.9074852129730304,1.0165300454651272,-2.2920733411616134e-16
8_Canadian government finance statistics for the federal government_Taxes on goods and services,1.8551207258131304,-0.8867642425207365,1.0165300454651272,7.162729191130042e-18
8_Canadian government finance statistics for the federal government_Taxes on international trade and transactions,1.9524026419267864,-0.8818926356134954,1.0165300454651272,-2.865091676452017e-17
8_Canadian government finance statistics for the federal government_Other taxes,1.1019463300386794,-0.9074852129730304,1.0165300454651272,-2.2920733411616134e-16
8_Canadian government finance statistics for the federal government_Social contributions,1.3889410485317426,-0.8975076266389601,1.0165300454651272,-7.162729191130042e-18
"8_Canadian government finance statistics for the federal government_Grants, revenue",3.228117973700176,-0.8149010255905664,1.016530045465127,-7.162729191130042e-18
8_Canadian government finance statistics for the federal government_Property income,1.7257062646772867,-0.8756417575175377,1.0165300454651272,0.0
8_Canadian government finance statistics for the federal government_Sales of goods and services,1.4567134532449009,-0.8957729109130094,1.016530045465127,-9.311547948469055e-17
"8_Canadian government finance statistics for the federal government_Fines, penalties and forfeits",4.113487309511113,-0.6297966289221598,1.016530045465127,-2.1488187573390126e-17
8_Canadian government finance statistics for the federal government_Voluntary transfers other than grants,5.387378064342231,-0.3281465623673728,1.016530045465127,3.447063423231333e-17
8_Canadian government finance statistics for the federal government_Miscellaneous revenue 8,3.492017864116987,-0.4797280880305324,1.0165300454651272,8.59527502935605e-17
8_Canadian government finance statistics for the federal government_Compensation of employees 9,1.8873238046717848,-0.8877860144452352,1.0165300454651272,-1.4325458382260084e-17
8_Canadian government finance statistics for the federal government_Use of goods and services 9,1.66040116738369,-0.893911061737644,1.0165300454651272,2.865091676452017e-17
8_Canadian government finance statistics for the federal government_Interest expense,1.4300690937583873,-0.8997386894224837,1.0165300454651272,7.162729191130042e-17
8_Canadian government finance statistics for the federal government_Subsidies,5.155447342131367,-0.327396519170139,1.016530045465127,5.730183352904034e-17
"8_Canadian government finance statistics for the federal government_Grants, expense",2.0447028503571025,-0.8746914026614568,1.0165300454651272,0.0
8_Canadian government finance statistics for the federal government_Social benefits,3.11255246907501,-0.7958178133320591,1.016530045465127,2.1488187573390126e-17
8_Canadian government finance statistics for the federal government_Other expense,3.0702932559204124,-0.7592391454475813,1.016530045465127,-7.162729191130042e-17
8_Canadian government finance statistics for the federal government_Nonfinancial assets 12,2.375586305119871,-0.8664752725588033,1.0165300454651272,1.1460366705808067e-16
"8_Canadian government finance statistics for the federal government_Currency and deposits, assets",3.320900483589535,-0.7642847228542872,1.0165300454651272,1.4325458382260084e-17
"8_Canadian government finance statistics for the federal government_Debt securities, assets",1.6500996135061057,-0.8984374326152781,1.0165300454651272,-6.446456272017038e-17
"8_Canadian government finance statistics for the federal government_Loans, assets",2.157726122432378,-0.8742978458304127,1.016530045465127,-4.297637514678025e-17
"8_Canadian government finance statistics for the federal government_Equity and investment fund shares, assets",2.257650372774977,-0.8414639818994489,1.0165300454651272,8.59527502935605e-17
"8_Canadian government finance statistics for the federal government_Insurance and pension, assets",3.517318063725438,-0.3786772935139519,1.0165300454651272,0.0
