,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments_Canada,9.0,0.0,3.57710761995375,4.064516129032258
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",9.0,0.0,1.9745695052802765,3.967741935483871
3_Number of full-time and part-time educators_Canada,9.0,0.0,3.0132324657206784,3.7096774193548385
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",9.0,0.0,2.7951571021691164,4.709677419354839
6_Estimates of population_Canada,9.0,0.0,3.2653277923353805,2.935483870967742
7_Dependency ratio_Canada,9.0,0.0,2.4051915176465966,2.4193548387096775
5_Household spending_Total expenditure,9.0,0.0,2.276575432294026,3.129032258064516
4_Canada_gdp_yearly_Final consumption expenditure,9.0,0.0,3.2115383377166236,4.225806451612903
4_Canada_gdp_yearly_Gross fixed capital formation,9.0,0.0,3.444178507481551,5.064516129032258
4_Canada_gdp_yearly_Investment in inventories,9.0,0.0,2.2737397549232146,5.354838709677419
4_Canada_gdp_yearly_Exports of goods and services,9.0,0.0,2.627399057328676,5.645161290322581
4_Canada_gdp_yearly_Less: imports of goods and services,9.0,0.0,3.108434588566703,5.064516129032258
4_Canada_gdp_yearly_Statistical discrepancy,9.0,0.0,2.427441681746355,4.32258064516129
4_Canada_gdp_yearly_Gross domestic product at market prices,9.0,0.0,3.087261374697472,4.741935483870968
4_Canada_gdp_yearly_Final domestic demand,9.0,0.0,3.272892903379096,4.387096774193548
8_Canadian government finance statistics for the federal government_Gross operating balance 5 6,9.0,0.0,2.1442596536720058,4.741935483870968
8_Canadian government finance statistics for the federal government_Net operating balance 7,9.0,0.0,2.0420314574262264,4.645161290322581
8_Canadian government finance statistics for the federal government_Net worth 3 10 11,9.0,0.0,2.1306771098025528,5.838709677419355
