,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments_Canada,1.0,0.0,0.37392675408575204,0.45817507062741014
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",1.0,0.0,0.1990412414722227,0.5403325721321828
3_Number of full-time and part-time educators_Canada,1.0000000000000009,0.0,0.34557256758805427,0.47686819364152266
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",1.0,0.0,0.2835804086803512,0.5150349647352852
6_Estimates of population_Canada,1.0,0.0,0.3158468310783548,0.34914770105047943
7_Dependency ratio_Canada,1.0,0.0,0.2587704963530821,0.2991675338189383
5_Household spending_Total expenditure,1.0,0.0,0.21918500720892717,0.29784643259988147
4_Canada_gdp_yearly_Final consumption expenditure,0.9999999999999998,0.0,0.3327940204494576,0.4719341628417802
4_Canada_gdp_yearly_Gross fixed capital formation,1.0,0.0,0.35157761382593966,0.5507971199433366
4_Canada_gdp_yearly_Investment in inventories,1.0,0.0,0.22595636715052336,0.6639411722371311
4_Canada_gdp_yearly_Exports of goods and services,1.0,0.0,0.27133056922797577,0.6138084508279898
4_Canada_gdp_yearly_Less: imports of goods and services,1.0,0.0,0.3191277349187141,0.5573229501040672
4_Canada_gdp_yearly_Statistical discrepancy,1.0,0.0,0.24266201540251733,0.4817067541925226
4_Canada_gdp_yearly_Gross domestic product at market prices,1.0000000000000002,0.0,0.3163692323897262,0.5273952907013203
4_Canada_gdp_yearly_Final domestic demand,1.0,0.0,0.3373466537302377,0.48786134356563937
8_Canadian government finance statistics for the federal government_Gross operating balance 5 6,1.0,0.0,0.17308039731694924,0.8697039643846582
8_Canadian government finance statistics for the federal government_Net operating balance 7,1.0,0.0,0.17370678544998686,0.8728744481776679
8_Canadian government finance statistics for the federal government_Net worth 3 10 11,1.0,0.0,0.2035559906686587,0.7212769271142206
