,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments_Canada,2183793.0,1312992.0,325615.79138462694,1711971.3096774195
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",5730108.0,5059860.0,133406.99401427442,5422016.825806452
3_Number of full-time and part-time educators_Canada,408810.0,350622.0,20108.1765628137,378370.006451613
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",404246.0,328972.0,21346.23168300476,367740.7419354839
6_Estimates of population_Canada,38246108.0,31020902.0,2282058.418988316,33543566.06451613
7_Dependency ratio_Canada,65.6,59.4,1.6043770773891066,61.25483870967741
5_Household spending_Total expenditure,93724.0,72075.0,4745.136221066064,78523.07741935486
4_Canada_gdp_yearly_Final consumption expenditure,6615994.0,3311630.0,1099672.5805884514,4871072.258064516
4_Canada_gdp_yearly_Gross fixed capital formation,1878700.0,792216.0,381983.4521800622,1390648.2580645161
4_Canada_gdp_yearly_Investment in inventories,76800.0,-93973.0,38587.24668739632,19410.225806451614
4_Canada_gdp_yearly_Exports of goods and services,2741976.0,982834.0,477309.00021283975,2062610.2258064516
4_Canada_gdp_yearly_Less: imports of goods and services,2697321.0,848235.0,590094.6268499054,1878773.064516129
4_Canada_gdp_yearly_Statistical discrepancy,7747.0,-7978.0,3815.860192204585,-403.16129032258067
4_Canada_gdp_yearly_Gross domestic product at market prices,8439965.0,4277433.0,1316897.0536376718,6472732.774193549
4_Canada_gdp_yearly_Final domestic demand,8489825.0,4148929.0,1464386.7397909735,6266684.354838709
8_Canadian government finance statistics for the federal government_Gross operating balance 5 6,11595.0,-243018.0,44068.51920206039,-21580.064516129034
8_Canadian government finance statistics for the federal government_Net operating balance 7,2222.0,-254698.0,44628.74731781063,-30439.09677419355
8_Canadian government finance statistics for the federal government_Net worth 3 10 11,-431280.0,-815907.0,78293.13002291418,-538484.4193548387
