,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments_Canada,1.4729657989728868,-1.2455613841128357,1.0165300454651272,-3.5097373036537205e-16
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",2.347582580841762,-2.7595501819278514,1.0165300454651272,-2.9796953435100977e-15
3_Number of full-time and part-time educators_Canada,1.5388351066562451,-1.402746896105326,1.016530045465127,-3.710293721005362e-15
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",1.738418854958068,-1.8462083419473032,1.016530045465127,-3.72126165007928e-16
6_Estimates of population_Canada,2.094720769505226,-1.1237064725681565,1.016530045465127,-9.884566283759457e-16
7_Dependency ratio_Canada,2.7530853352710207,-1.1752220250785643,1.0165300454651272,6.604036314221899e-15
5_Household spending_Total expenditure,3.2564280143138915,-1.381343785908606,1.0165300454651272,-4.340613889824805e-15
4_Canada_gdp_yearly_Final consumption expenditure,1.6129940938543703,-1.4415380882210298,1.0165300454651272,2.363700633072914e-16
4_Canada_gdp_yearly_Gross fixed capital formation,1.298797779295286,-1.5925411612107343,1.016530045465127,1.4325458382260084e-17
4_Canada_gdp_yearly_Investment in inventories,1.51185779702847,-2.986931320022409,1.0165300454651272,-4.6557739742345276e-17
4_Canada_gdp_yearly_Exports of goods and services,1.4468525023003365,-2.299610892360603,1.0165300454651272,-5.730183352904034e-17
4_Canada_gdp_yearly_Less: imports of goods and services,1.4100765067370291,-1.7752625730018416,1.016530045465127,1.217663962492107e-16
4_Canada_gdp_yearly_Statistical discrepancy,2.171170695384728,-2.0179070380172246,1.016530045465127,-4.6557739742345276e-17
4_Canada_gdp_yearly_Gross domestic product at market prices,1.5185322637145957,-1.694580584796832,1.016530045465127,-1.5758004220486094e-16
4_Canada_gdp_yearly_Final domestic demand,1.5432325352958025,-1.4700774656328113,1.0165300454651272,2.435327924984214e-16
8_Canadian government finance statistics for the federal government_Gross operating balance 5 6,0.765250352213161,-5.107916460569406,1.016530045465127,-2.865091676452017e-17
8_Canadian government finance statistics for the federal government_Net operating balance 7,0.7439372194872674,-5.108050904245546,1.0165300454651272,-2.1488187573390126e-17
8_Canadian government finance statistics for the federal government_Net worth 3 10 11,1.3919039033047007,-3.601955732689993,1.0165300454651272,-4.870655849968428e-16
