,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments_Canada,9.0,0.0,3.1063583768765954,4.870967741935484
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",9.0,0.0,3.0060870146728864,4.354838709677419
3_Number of full-time and part-time educators_Canada,9.0,0.0,3.0196489150052646,2.4193548387096775
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",9.0,0.0,2.7951571021691164,4.709677419354839
6_Estimates of population_Canada,9.0,0.0,3.3350533196879018,3.5483870967741935
7_Dependency ratio_Canada,9.0,0.0,2.9816643977223802,3.096774193548387
5_Household spending_Total expenditure,9.0,0.0,2.7060267266162192,1.4516129032258065
4_Canada_gdp_yearly_Final consumption expenditure,9.0,0.0,3.2115383377166236,4.225806451612903
4_Canada_gdp_yearly_Gross fixed capital formation,9.0,0.0,3.444178507481551,5.064516129032258
4_Canada_gdp_yearly_Investment in inventories,9.0,0.0,2.2737397549232146,5.354838709677419
4_Canada_gdp_yearly_Exports of goods and services,9.0,0.0,2.627399057328676,5.645161290322581
4_Canada_gdp_yearly_Less: imports of goods and services,9.0,0.0,3.108434588566703,5.064516129032258
4_Canada_gdp_yearly_Statistical discrepancy,9.0,0.0,2.427441681746355,4.32258064516129
4_Canada_gdp_yearly_Gross domestic product at market prices,9.0,0.0,3.087261374697472,4.741935483870968
4_Canada_gdp_yearly_Final domestic demand,9.0,0.0,3.272892903379096,4.387096774193548
8_Canadian government finance statistics for the federal government_Gross operating balance 5 6,9.0,0.0,1.8409908505551997,5.548387096774194
8_Canadian government finance statistics for the federal government_Net operating balance 7,9.0,0.0,2.150268800401125,5.903225806451613
8_Canadian government finance statistics for the federal government_Net worth 3 10 11,9.0,0.0,2.856797214115949,6.806451612903226
