,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments_Canada,1.063684437547381,-3.1003028688852368,1.016530045465127,6.446456272017038e-17
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",0.6663553442408325,-1.848774205419058,1.0165300454651272,-1.4325458382260084e-17
3_Number of full-time and part-time educators_Canada,1.1592429252104703,-0.9660091350809066,1.016530045465127,4.297637514678025e-17
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",1.738418854958068,-1.8462083419473032,1.016530045465127,-3.72126165007928e-16
6_Estimates of population_Canada,0.9199821320201494,-1.43995599842637,1.0165300454651272,-3.9395010551215234e-17
7_Dependency ratio_Canada,0.8333712743590425,-1.447050638221049,1.0165300454651267,1.0744093786695064e-16
5_Household spending_Total expenditure,1.9023896399160627,-0.6367752484977279,1.0165300454651272,-9.311547948469055e-17
4_Canada_gdp_yearly_Final consumption expenditure,1.6129940938543703,-1.4415380882210298,1.0165300454651272,2.363700633072914e-16
4_Canada_gdp_yearly_Gross fixed capital formation,1.298797779295286,-1.5925411612107343,1.016530045465127,1.4325458382260084e-17
4_Canada_gdp_yearly_Investment in inventories,1.51185779702847,-2.986931320022409,1.0165300454651272,-4.6557739742345276e-17
4_Canada_gdp_yearly_Exports of goods and services,1.4468525023003365,-2.299610892360603,1.0165300454651272,-5.730183352904034e-17
4_Canada_gdp_yearly_Less: imports of goods and services,1.4100765067370291,-1.7752625730018416,1.016530045465127,1.217663962492107e-16
4_Canada_gdp_yearly_Statistical discrepancy,2.171170695384728,-2.0179070380172246,1.016530045465127,-4.6557739742345276e-17
4_Canada_gdp_yearly_Gross domestic product at market prices,1.5185322637145957,-1.694580584796832,1.016530045465127,-1.5758004220486094e-16
4_Canada_gdp_yearly_Final domestic demand,1.5432325352958025,-1.4700774656328113,1.0165300454651272,2.435327924984214e-16
8_Canadian government finance statistics for the federal government_Gross operating balance 5 6,0.5244807647386047,-5.120544195715128,1.0165300454651272,2.1488187573390126e-17
8_Canadian government finance statistics for the federal government_Net operating balance 7,0.3940842853491295,-5.052603863079174,1.0165300454651272,-8.59527502935605e-17
8_Canadian government finance statistics for the federal government_Net worth 3 10 11,0.8834826220027545,-1.872802732796015,1.0165300454651272,-8.59527502935605e-17
