,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments,3.822644418371268,-0.654698158746859,1.001243008559388,3.5262666787101746e-17
"2_Number of students in elementary and secondary schools_Public school Total, program type",3.181372502182965,-0.6980992215719172,1.001243008559388,0.0
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2.8249127952405946,-0.6002411391962726,1.001243008559388,3.5262666787101746e-17
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",7.286282575102204,-0.6095368374795307,1.0012430085593882,-8.815666696775437e-18
3_Number of full-time and part-time educators,3.390486868329361,-0.6614169574628641,1.001243008559388,-1.7631333393550873e-17
"1_Live births_Canada, place of residence of mother 10",3.113759993328612,-0.7113197419344913,1.0012430085593882,7.052533357420349e-17
1_Live births_Place of residence of mother outside Canada 11,7.540021950484466,-0.5820161571785688,1.001243008559388,-8.815666696775437e-18
6_Estimates of population,3.453301513671711,-0.696028271539595,1.001243008559388,-5.289400018065262e-17
7_Dependency ratio,3.8307861325017343,-2.0451229590252424,1.001243008559388,-1.5868200054195785e-16
4_Canada_gdp_yearly_Durable goods,4.495112798208949,-0.6473365976725911,1.001243008559388,1.0578800036130524e-16
4_Canada_gdp_yearly_Semi-durable goods,4.345344592707009,-0.6492281815665776,1.001243008559388,-5.289400018065262e-17
4_Canada_gdp_yearly_Non-durable goods,3.672872730110473,-0.7048945315809766,1.0012430085593882,7.052533357420349e-17
4_Canada_gdp_yearly_Services,4.117387609240228,-0.6617806487887955,1.001243008559388,3.5262666787101746e-17
4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,4.356989778988214,-0.6285209251397001,1.001243008559388,0.0
4_Canada_gdp_yearly_General governments final consumption expenditure,3.892971603409914,-0.7069357436193425,1.001243008559388,-7.052533357420349e-17
4_Canada_gdp_yearly_Non-residential structures,5.894182516920752,-0.6745398344660037,1.001243008559388,4.4078333483877186e-17
4_Canada_gdp_yearly_Machinery and equipment,3.592193987463954,-0.6808719283200035,1.001243008559388,0.0
4_Canada_gdp_yearly_Intellectual property products,4.352778891376723,-0.6415641988279783,1.0012430085593882,8.815666696775437e-17
4_Canada_gdp_yearly_Residential structures,4.756405064769308,-0.6404474212128274,1.0012430085593882,5.289400018065262e-17
4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,4.757437174905318,-0.6398159450598733,1.001243008559388,5.289400018065262e-17
4_Canada_gdp_yearly_General governments gross fixed capital formation,4.291442668324795,-0.6701419915881488,1.001243008559388,1.7631333393550873e-17
4_Canada_gdp_yearly_Non-farm,5.922210937759797,-6.340719929879184,1.001243008559388,8.815666696775437e-18
4_Canada_gdp_yearly_Farm,5.576936986734356,-9.254191321831003,1.001243008559388,1.5427416719357015e-17
4_Canada_gdp_yearly_Exports of goods to other countries,3.484419773963616,-0.677332737890457,1.001243008559388,7.052533357420349e-17
4_Canada_gdp_yearly_Exports of services to other countries,5.721755182138418,-0.5270780773681696,1.001243008559388,3.5262666787101746e-17
4_Canada_gdp_yearly_Exports of goods to other provinces,2.737431608724799,-0.8544275184865099,1.001243008559388,7.052533357420349e-17
4_Canada_gdp_yearly_Exports of services to other provinces,4.43201361187252,-0.6199984047700386,1.0012430085593882,1.7631333393550873e-17
4_Canada_gdp_yearly_Imports of goods from other countries,4.249296634559142,-0.5980794807112854,1.001243008559388,0.0
4_Canada_gdp_yearly_Imports of services from other countries,4.626759949795919,-0.5388223490861554,1.0012430085593882,0.0
4_Canada_gdp_yearly_Imports of goods from other provinces,3.2913684129109044,-0.8449083463579826,1.0012430085593882,-2.644700009032631e-17
4_Canada_gdp_yearly_Imports of services from other provinces,2.8387245289589864,-0.905829428787191,1.001243008559388,9.69723336645298e-17
4_Canada_gdp_yearly_Statistical discrepancy,5.470141859591727,-7.092081469441663,1.001243008559388,8.815666696775437e-18
4_Canada_gdp_yearly_Gross domestic product at market prices,3.788222056883631,-0.6941504878271737,1.001243008559388,5.289400018065262e-17
4_Canada_gdp_yearly_Final domestic demand,3.9621436720078633,-0.6898238138067405,1.001243008559388,5.289400018065262e-17
