,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments,9.0,0.0,2.082893241419503,1.0694789081885856
"2_Number of students in elementary and secondary schools_Public school Total, program type",9.0,0.0,2.591817245715128,1.9627791563275434
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",9.0,0.0,2.0130434025016193,0.8138957816377171
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",9.0,0.0,1.5506421868646096,0.7642679900744417
3_Number of full-time and part-time educators,9.0,0.0,1.960550655588413,1.066997518610422
"1_Live births_Canada, place of residence of mother 10",9.0,0.0,2.2717114828893985,1.5732009925558312
1_Live births_Place of residence of mother outside Canada 11,9.0,0.0,1.384054935289372,0.7667493796526055
6_Estimates of population,9.0,0.0,2.1778763315683456,1.4962779156327544
7_Dependency ratio,9.0,0.0,2.0910062645766563,2.1885856079404467
4_Canada_gdp_yearly_Durable goods,9.0,0.0,1.8167026798133428,1.1339950372208436
4_Canada_gdp_yearly_Semi-durable goods,9.0,0.0,1.9229026006444019,1.0942928039702233
4_Canada_gdp_yearly_Non-durable goods,9.0,0.0,2.2649274654145657,1.215880893300248
4_Canada_gdp_yearly_Services,9.0,0.0,2.0275286525283254,1.0595533498759304
4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,9.0,0.0,1.9790733890083565,1.1687344913151365
4_Canada_gdp_yearly_General governments final consumption expenditure,9.0,0.0,2.1062918402014956,1.0794044665012408
4_Canada_gdp_yearly_Non-residential structures,9.0,0.0,1.7581405961592955,1.2357320099255582
4_Canada_gdp_yearly_Machinery and equipment,9.0,0.0,2.229958981654591,1.2903225806451613
4_Canada_gdp_yearly_Intellectual property products,9.0,0.0,1.884731841808427,1.0049627791563276
4_Canada_gdp_yearly_Residential structures,9.0,0.0,1.7537535514089602,0.8933002481389578
4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,9.0,0.0,1.7365104557395363,0.8610421836228288
4_Canada_gdp_yearly_General governments gross fixed capital formation,9.0,0.0,1.9520156372857496,1.15136476426799
4_Canada_gdp_yearly_Non-farm,9.0,0.0,1.039692245063779,4.357320099255583
4_Canada_gdp_yearly_Farm,9.0,0.0,1.0128673532592734,4.183622828784119
4_Canada_gdp_yearly_Exports of goods to other countries,9.0,0.0,2.293507259429047,1.2655086848635235
4_Canada_gdp_yearly_Exports of services to other countries,9.0,0.0,1.5177024942180755,0.7270471464019851
4_Canada_gdp_yearly_Exports of goods to other provinces,9.0,0.0,2.635601837725674,2.225806451612903
4_Canada_gdp_yearly_Exports of services to other provinces,9.0,0.0,1.940207150670784,1.1290322580645162
4_Canada_gdp_yearly_Imports of goods from other countries,9.0,0.0,2.0008485539865393,0.9602977667493796
4_Canada_gdp_yearly_Imports of services from other countries,9.0,0.0,1.8227778029843298,0.8560794044665012
4_Canada_gdp_yearly_Imports of goods from other provinces,9.0,0.0,2.411207264438559,1.9553349875930521
4_Canada_gdp_yearly_Imports of services from other provinces,9.0,0.0,2.5124801143639686,2.2133995037220844
4_Canada_gdp_yearly_Statistical discrepancy,9.0,0.0,0.8809203376076746,4.990074441687345
4_Canada_gdp_yearly_Gross domestic product at market prices,9.0,0.0,2.138562109687598,1.4764267990074442
4_Canada_gdp_yearly_Final domestic demand,9.0,0.0,2.032023295785998,1.0521091811414391
