,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments,3.8812003186824007,-0.6221832232985396,1.001243008559388,3.5262666787101746e-17
"2_Number of students in elementary and secondary schools_Public school Total, program type",3.4183361121794524,-0.5678906968144553,1.001243008559388,3.5262666787101746e-17
"2_Number of students in elementary and secondary schools_Priviate school Total, program type",3.873867754067765,-0.398045301652205,1.001243008559388,-5.289400018065262e-17
"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",8.071354404294786,-0.3900774340808418,1.001243008559388,2.2039166741938593e-17
3_Number of full-time and part-time educators,4.540778855194364,-0.4180056064505766,1.0012430085593882,1.7631333393550873e-17
"1_Live births_Canada, place of residence of mother 10",3.112768770025258,-0.7015010911378459,1.001243008559388,5.289400018065262e-17
1_Live births_Place of residence of mother outside Canada 11,7.517474485113586,-0.5905572682732493,1.001243008559388,-1.7631333393550873e-17
6_Estimates of population,3.850947133500645,-0.5304899089898147,1.001243008559388,1.7631333393550873e-17
7_Dependency ratio,1.6462608379108878,-1.4112910182200713,1.001243008559388,3.5262666787101746e-17
4_Canada_gdp_yearly_Durable goods,4.492154832830237,-0.6405341414645113,1.0012430085593882,-1.7631333393550873e-17
4_Canada_gdp_yearly_Semi-durable goods,4.342488608614333,-0.6457278894930211,1.001243008559388,0.0
4_Canada_gdp_yearly_Non-durable goods,3.670552957787269,-0.701231178462722,1.001243008559388,0.0
4_Canada_gdp_yearly_Services,4.114870802023694,-0.6576761016820435,1.001243008559388,5.289400018065262e-17
4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,4.354283549470812,-0.6247138751098132,1.001243008559388,1.7631333393550873e-17
4_Canada_gdp_yearly_General governments final consumption expenditure,3.8886272547698906,-0.7159926685896337,1.001243008559388,3.5262666787101746e-17
4_Canada_gdp_yearly_Non-residential structures,5.886711195443007,-0.667282272783361,1.001243008559388,1.7631333393550873e-17
4_Canada_gdp_yearly_Machinery and equipment,3.590574531249856,-0.6742694885353036,1.001243008559388,1.1460366705808067e-16
4_Canada_gdp_yearly_Intellectual property products,4.349158916292863,-0.6349647948640859,1.0012430085593882,-1.7631333393550873e-17
4_Canada_gdp_yearly_Residential structures,4.752890204425746,-0.6352671461225495,1.001243008559388,-3.5262666787101746e-17
4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,4.753946217953082,-0.6360418107606333,1.001243008559388,5.289400018065262e-17
4_Canada_gdp_yearly_General governments gross fixed capital formation,4.287106803023874,-0.6759414031593133,1.001243008559388,0.0
4_Canada_gdp_yearly_Non-farm,5.923044847804622,-6.336760961082238,1.001243008559388,8.815666696775437e-18
4_Canada_gdp_yearly_Farm,5.577830036040926,-9.25263893174708,1.001243008559388,2.203916674193859e-18
4_Canada_gdp_yearly_Exports of goods to other countries,3.483228276132969,-0.6687064626925253,1.001243008559388,8.815666696775437e-17
4_Canada_gdp_yearly_Exports of services to other countries,5.718894146177375,-0.5216220495544058,1.0012430085593882,3.5262666787101746e-17
4_Canada_gdp_yearly_Exports of goods to other provinces,2.735734266810843,-0.8421993270390735,1.0012430085593882,1.7631333393550873e-17
4_Canada_gdp_yearly_Exports of services to other provinces,4.429456923282822,-0.6151750964280088,1.0012430085593882,5.289400018065262e-17
4_Canada_gdp_yearly_Imports of goods from other countries,4.24765556948843,-0.5933197260982332,1.001243008559388,3.5262666787101746e-17
4_Canada_gdp_yearly_Imports of services from other countries,4.625416039007691,-0.5345807074855122,1.001243008559388,-1.7631333393550873e-17
4_Canada_gdp_yearly_Imports of goods from other provinces,3.2866076142577527,-0.8504877463498964,1.001243008559388,-6.170966687742806e-17
4_Canada_gdp_yearly_Imports of services from other provinces,2.8342483475393663,-0.9164725983775862,1.001243008559388,4.4078333483877186e-17
4_Canada_gdp_yearly_Statistical discrepancy,5.46986147438946,-7.092383465394027,1.001243008559388,1.7631333393550873e-17
4_Canada_gdp_yearly_Gross domestic product at market prices,3.785683857493877,-0.6917692977478826,1.001243008559388,1.7631333393550873e-17
4_Canada_gdp_yearly_Final domestic demand,3.95903075308224,-0.6905069182432099,1.001243008559388,7.052533357420349e-17
