,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments,9.0,0.0,2.1023348001485416,1.1339950372208436
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",9.0,0.0,2.3978868022187685,1.3325062034739454
3_Number of full-time and part-time educators,9.0,0.0,2.133302508635002,1.1364764267990075
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",9.0,0.0,2.2838816634217514,1.598014888337469
6_Estimates of population,9.0,0.0,2.20868478023736,1.2109181141439207
7_Dependency ratio,9.0,0.0,1.9183903982722608,2.937965260545906
4_Canada_gdp_yearly_Final consumption expenditure,9.0,0.0,2.1118817887615897,1.1414392059553349
4_Canada_gdp_yearly_Gross fixed capital formation,9.0,0.0,1.97436442548834,1.1215880893300247
4_Canada_gdp_yearly_Investment in inventories,9.0,0.0,0.9627264490603784,4.265508684863524
4_Canada_gdp_yearly_Exports of goods and services,9.0,0.0,2.2061345417238396,1.3573200992555832
4_Canada_gdp_yearly_Less: imports of goods and services,9.0,0.0,1.976273719691341,1.4590570719602978
4_Canada_gdp_yearly_Statistical discrepancy,9.0,0.0,0.8809203376076746,4.990074441687345
4_Canada_gdp_yearly_Gross domestic product at market prices,9.0,0.0,2.1408872333095195,1.5235732009925558
4_Canada_gdp_yearly_Final domestic demand,9.0,0.0,2.033338180344961,1.0694789081885856
