,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments,1.0,0.0,0.22353093510728567,0.14614784583269702
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",1.0,0.0,0.26273649912563957,0.18286044703134316
3_Number of full-time and part-time educators,1.0,0.0,0.24641910982433718,0.1622743225539943
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",1.0,0.0,0.26176942466227304,0.18598675471131312
6_Estimates of population,1.0,0.0,0.24144806653548812,0.1670630364166766
7_Dependency ratio,1.0,0.0,0.17077275288453517,0.35001787043046717
4_Canada_gdp_yearly_Final consumption expenditure,1.0,0.0,0.21665161402483904,0.14716045249759396
4_Canada_gdp_yearly_Gross fixed capital formation,1.0,0.0,0.21289722281349535,0.14902140110648893
4_Canada_gdp_yearly_Investment in inventories,1.0,0.0,0.08955369361953715,0.48957803165562574
4_Canada_gdp_yearly_Exports of goods and services,1.0,0.0,0.22423650745680906,0.15438027406069915
4_Canada_gdp_yearly_Less: imports of goods and services,1.0,0.0,0.2129783180569919,0.14642510184941285
4_Canada_gdp_yearly_Statistical discrepancy,1.0,0.0,0.07970269134169497,0.5645562321003068
4_Canada_gdp_yearly_Gross domestic product at market prices,1.0,0.0,0.22337344755978697,0.15486229243623903
4_Canada_gdp_yearly_Final domestic demand,1.0,0.0,0.21523001001458222,0.14828646500867487
