,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments,3.824586960605974,-0.6546275520467494,1.001243008559388,3.5262666787101746e-17
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3.113976425620152,-0.6968492947933542,1.001243008559388,1.7631333393550873e-17
3_Number of full-time and part-time educators,3.4038227726389216,-0.6593483396710622,1.001243008559388,0.0
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",3.113522795000052,-0.7113815453413052,1.001243008559388,-7.052533357420349e-17
6_Estimates of population,3.454044272646559,-0.6927812659718044,1.001243008559388,1.7631333393550873e-17
7_Dependency ratio,3.810854202016973,-2.052159608133174,1.001243008559388,-1.2341933375485612e-16
4_Canada_gdp_yearly_Final consumption expenditure,3.941349055732567,-0.6800935910994832,1.001243008559388,1.7631333393550873e-17
4_Canada_gdp_yearly_Gross fixed capital formation,4.002101865472442,-0.7008388085658873,1.0012430085593882,7.934100027097893e-17
4_Canada_gdp_yearly_Investment in inventories,5.706704062828663,-5.473661236374982,1.001243008559388,3.5262666787101746e-17
4_Canada_gdp_yearly_Exports of goods and services,3.775793906617596,-0.6893265142944218,1.001243008559388,-1.7631333393550873e-17
4_Canada_gdp_yearly_Less: imports of goods and services,4.012783586854934,-0.6883663597394437,1.001243008559388,0.0
4_Canada_gdp_yearly_Statistical discrepancy,5.470141859591727,-7.092081469441663,1.001243008559388,8.815666696775437e-18
4_Canada_gdp_yearly_Gross domestic product at market prices,3.788222056883631,-0.6941504878271737,1.001243008559388,5.289400018065262e-17
4_Canada_gdp_yearly_Final domestic demand,3.9621436720078633,-0.6898238138067405,1.001243008559388,5.289400018065262e-17
