,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments,1.0,0.0,0.22233127585641155,0.13815905696205805
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",1.0,0.0,0.2568433888930804,0.14585209391897744
3_Number of full-time and part-time educators,1.0,0.0,0.2019129922471471,0.0842959821471883
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",1.0,0.0,0.2625124094611217,0.1839378940849881
6_Estimates of population,1.0,0.0,0.22851931885577656,0.12107669329610589
7_Dependency ratio,1.0,0.0,0.3274655854329044,0.46157549720380725
4_Canada_gdp_yearly_Final consumption expenditure,1.0,0.0,0.21676297106912015,0.1473424779400865
4_Canada_gdp_yearly_Gross fixed capital formation,1.0,0.0,0.21313172356938287,0.14880353733990057
4_Canada_gdp_yearly_Investment in inventories,1.0,0.0,0.08957835423350453,0.48936034790492955
4_Canada_gdp_yearly_Exports of goods and services,1.0,0.0,0.22470598702804312,0.1531096624641869
4_Canada_gdp_yearly_Less: imports of goods and services,1.0,0.0,0.2131110963075163,0.14658010305040833
4_Canada_gdp_yearly_Statistical discrepancy,1.0,0.0,0.07970255422966183,0.564579300864696
4_Canada_gdp_yearly_Gross domestic product at market prices,1.0,0.0,0.2236188685496869,0.15450062206413642
4_Canada_gdp_yearly_Final domestic demand,1.0,0.0,0.2153424876486617,0.14851087722155526
