,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments,907641.0,-1.0,201797.20388086507,125397.96277915633
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",2221422.0,-1.0,570557.8114850334,323998.19602977665
3_Number of full-time and part-time educators,169572.0,-1.0,34238.99183432547,14293.322580645161
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",153640.0,-1.0,40332.6691020162,28259.40198511166
6_Estimates of population,14826276.0,-1.0,3388090.721207066,1795115.5930521092
7_Dependency ratio,92.8,-1.0,30.71627191360643,42.29578163771712
4_Canada_gdp_yearly_Final consumption expenditure,634609.0,-1.0,137559.94907017433,93504.00992555832
4_Canada_gdp_yearly_Gross fixed capital formation,177469.0,-1.0,37824.486981858376,26407.16377171216
4_Canada_gdp_yearly_Investment in inventories,8781.0,-7749.0,1480.73019547983,340.12655086848633
4_Canada_gdp_yearly_Exports of goods and services,411618.0,-1.0,92493.25367449607,63021.846153846156
4_Canada_gdp_yearly_Less: imports of goods and services,404337.0,-1.0,86168.91445878851,59266.90570719603
4_Canada_gdp_yearly_Statistical discrepancy,1922.0,-2497.0,352.20558714087554,-2.1240694789081886
4_Canada_gdp_yearly_Gross domestic product at market prices,805813.0,-1.0,180195.2149414974,124497.76426799007
4_Canada_gdp_yearly_Final domestic demand,807865.0,-1.0,173967.87412677374,119975.88833746898
