,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments,9.0,0.0,2.082893241419503,1.0694789081885856
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",9.0,0.0,2.768801053587611,2.1588089330024816
3_Number of full-time and part-time educators,9.0,0.0,1.960550655588413,1.066997518610422
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",9.0,0.0,2.2866502366651003,1.5831265508684864
6_Estimates of population,9.0,0.0,2.1778763315683456,1.4962779156327544
7_Dependency ratio,9.0,0.0,2.0910062645766563,2.1885856079404467
4_Canada_gdp_yearly_Final consumption expenditure,9.0,0.0,2.144609095450711,1.1414392059553349
4_Canada_gdp_yearly_Gross fixed capital formation,9.0,0.0,1.9774696040862727,1.1116625310173698
4_Canada_gdp_yearly_Investment in inventories,9.0,0.0,0.9639246714311355,4.270471464019852
4_Canada_gdp_yearly_Exports of goods and services,9.0,0.0,2.1613923985711647,1.456575682382134
4_Canada_gdp_yearly_Less: imports of goods and services,9.0,0.0,1.9757614225332005,1.4392059553349876
4_Canada_gdp_yearly_Statistical discrepancy,9.0,0.0,0.8809203376076746,4.990074441687345
4_Canada_gdp_yearly_Gross domestic product at market prices,9.0,0.0,2.138562109687598,1.4764267990074442
4_Canada_gdp_yearly_Final domestic demand,9.0,0.0,2.032023295785998,1.0521091811414391
