,Upper Bounds,Lower Bounds,Standard Deviation,Mean
9_Postsecondary enrolments,3.8812003186824007,-0.6221832232985396,1.001243008559388,3.5262666787101746e-17
"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3.329692942165913,-0.5685697807893146,1.001243008559388,3.5262666787101746e-17
3_Number of full-time and part-time educators,4.540778855194364,-0.4180056064505766,1.0012430085593882,1.7631333393550873e-17
"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",3.112525155572373,-0.7015536173691124,1.001243008559388,7.052533357420349e-17
6_Estimates of population,3.850947133500645,-0.5304899089898147,1.001243008559388,1.7631333393550873e-17
7_Dependency ratio,1.6462608379108878,-1.4112910182200713,1.001243008559388,3.5262666787101746e-17
4_Canada_gdp_yearly_Final consumption expenditure,3.9384834893494425,-0.6805849964765679,1.001243008559388,-1.7631333393550873e-17
4_Canada_gdp_yearly_Gross fixed capital formation,3.998721977544858,-0.6990442291523984,1.001243008559388,-1.7631333393550873e-17
4_Canada_gdp_yearly_Investment in inventories,5.707566140595137,-5.469721242352766,1.001243008559388,2.644700009032631e-17
4_Canada_gdp_yearly_Exports of goods and services,3.77356669792875,-0.6822247200116801,1.001243008559388,-1.7631333393550873e-17
4_Canada_gdp_yearly_Less: imports of goods and services,4.009555203794966,-0.6886657049586951,1.001243008559388,3.5262666787101746e-17
4_Canada_gdp_yearly_Statistical discrepancy,5.46986147438946,-7.092383465394027,1.001243008559388,1.7631333393550873e-17
4_Canada_gdp_yearly_Gross domestic product at market prices,3.785683857493877,-0.6917692977478826,1.001243008559388,1.7631333393550873e-17
4_Canada_gdp_yearly_Final domestic demand,3.95903075308224,-0.6905069182432099,1.001243008559388,7.052533357420349e-17
